chicken_id,breed_id,farm_id,farmer_id,gender,hatch_date,age_days,weight_kg,height_cm,production_type,health_status,vaccination_status,egg_production_weekly,province,feed_type_id,market_value
1,15,64,57,Female,7/16/2023,169,3.06,43.6,Fighting,Healthy,Partial,0,Sulawesi Selatan,4,136772
2,8,77,2,Male,8/2/2022,517,1.51,30.5,Fighting,Healthy,Partial,0,Sulawesi Selatan,4,142229
3,1,139,47,Male,6/17/2022,563,1.85,60.2,Fighting,Recovered,None,2,Bali,6,43303
4,9,42,29,Male,8/18/2022,501,3.51,51.8,Fighting,Recovered,Complete,0,Jawa Barat,8,117550
5,9,88,80,Male,11/6/2022,421,1.44,51.2,Meat,Recovered,None,0,Sumatera Utara,5,147190
6,12,77,1,Male,6/22/2022,558,3.47,37.2,Meat,Minor Issues,Partial,2,Jawa Barat,2,97728
7,7,32,6,Female,2/8/2023,327,2,41.6,Dual Purpose,,Complete,0,Banten,7,122335
8,8,92,79,Male,10/20/2022,438,0.97,69.3,Meat,Minor Issues,Partial,3,Sulawesi Selatan,7,110480
9,5,152,60,Female,1/28/2023,338,3.61,42.5,Fighting,Healthy,None,0,Bali,2,149142
10,1,77,97,Male,7/11/2023,174,3.69,39.2,Meat,Healthy,Partial,1,DI Yogyakarta,5,113279
11,15,29,1,Female,7/22/2022,528,2.06,33.2,Dual Purpose,Minor Issues,Complete,0,DI Yogyakarta,6,
12,15,3,67,Male,8/17/2022,502,2.82,66.6,Ornamental,Recovered,Partial,1,Bali,6,75366
13,4,83,96,Male,7/2/2022,548,3.96,53.6,Egg,Minor Issues,Complete,7,Jawa Timur,8,37424
14,3,142,63,Male,12/21/2022,376,2.71,51,Egg,Minor Issues,,3,Sulawesi Selatan,6,77104
15,10,19,87,Female,12/28/2022,369,2.89,58.6,Fighting,Healthy,Partial,0,Lampung,5,103348
16,15,42,79,Female,3/9/2023,298,1.06,63.8,Fighting,Healthy,Partial,0,Lampung,4,141361
17,7,121,10,Male,12/12/2023,20,3.83,39.4,Meat,Minor Issues,None,4,Bali,8,144392
18,10,29,98,Female,8/16/2022,503,1.45,26.7,Egg,Under Treatment,Complete,7,Banten,5,97692
19,2,45,58,Male,2/19/2022,681,3.03,48.7,Egg,Minor Issues,None,6,Jawa Timur,8,97721
20,2,78,39,Male,10/8/2022,450,1.02,43.6,Dual Purpose,Minor Issues,None,0,Sulawesi Selatan,4,132236
21,8,17,62,Female,12/24/2023,8,2.09,68.1,Dual Purpose,Minor Issues,Partial,0,Bali,5,149783
22,6,105,44,Female,5/12/2023,234,2.2,33.5,Dual Purpose,Recovered,Complete,0,DI Yogyakarta,8,74415
23,12,143,79,Female,6/21/2022,559,2.47,32.8,Fighting,Under Treatment,None,0,Jawa Barat,2,33973
24,10,31,83,Male,4/18/2022,623,3.94,51.7,Meat,Minor Issues,None,3,Jawa Timur,6,38017
25,3,188,31,Male,7/16/2022,534,1.56,37.7,Meat,Under Treatment,Complete,6,Jawa Timur,3,83916
26,14,117,86,Female,10/28/2022,430,1.04,55.5,Ornamental,Healthy,Complete,0,DI Yogyakarta,2,64675
27,13,91,77,Female,8/14/2022,505,1,64.9,Dual Purpose,Under Treatment,None,2,Bali,3,98621
28,12,46,6,Male,4/26/2022,615,1.47,59,Ornamental,Under Treatment,Partial,4,Jawa Timur,8,82706
29,3,87,22,Male,5/18/2022,593,0.88,48.1,Egg,Under Treatment,None,1,Jawa Tengah,4,124292
30,3,86,57,Female,11/12/2023,50,2.69,44,Dual Purpose,Under Treatment,Complete,0,Banten,3,67366
31,15,8,71,Male,12/13/2022,384,1.59,37.4,Dual Purpose,Under Treatment,None,7,Jawa Barat,1,28763
32,2,193,20,Male,9/22/2022,466,1.79,39.3,Fighting,Recovered,None,0,Banten,3,100265
33,4,102,20,Female,9/17/2022,471,1.6,59.4,Egg,Under Treatment,None,4,Banten,1,39888
34,12,2,62,Male,8/2/2023,152,4.33,47.2,Fighting,Healthy,None,6,DI Yogyakarta,2,71628
35,6,6,7,Female,3/21/2023,286,1.83,45.1,Dual Purpose,Recovered,Complete,0,Jawa Tengah,4,116546
36,11,140,86,Female,11/5/2023,57,2.59,29.3,Dual Purpose,Minor Issues,Complete,3,Jawa Tengah,8,145366
37,11,40,53,Female,4/14/2022,627,3.28,53.9,Meat,Healthy,Complete,0,Sulawesi Selatan,7,109130
38,15,6,70,Female,1/31/2023,335,1.47,65.5,Ornamental,Healthy,None,5,Jawa Tengah,8,113724
39,10,147,26,Male,5/9/2023,237,3.1,57.9,Egg,Minor Issues,Partial,0,DI Yogyakarta,1,136745
40,11,178,20,Male,11/30/2022,397,1.96,42.1,Egg,Under Treatment,Complete,0,Jawa Timur,6,47076
41,2,194,45,Male,5/22/2023,224,1.24,26,Ornamental,Minor Issues,None,0,Sumatera Utara,4,84820
42,1,152,23,Female,1/30/2022,701,2.59,60.9,Fighting,Healthy,Partial,0,Banten,5,65834
43,11,138,34,Male,9/4/2022,484,0.93,38,Ornamental,Minor Issues,Complete,0,Banten,8,143018
44,13,121,60,Male,10/21/2022,437,0.95,43,Dual Purpose,Under Treatment,Partial,4,Kalimantan Selatan,1,106137
45,12,93,63,Male,1/23/2022,708,1.61,27.5,Ornamental,Recovered,Partial,4,Sumatera Utara,3,30432
46,9,16,4,Female,10/30/2022,428,2.62,33.8,Dual Purpose,Recovered,Partial,0,DI Yogyakarta,7,89699
47,9,37,47,Male,11/19/2023,43,0.98,61.2,Fighting,Recovered,Partial,0,Sulawesi Selatan,2,111830
48,3,77,58,Female,9/27/2023,96,2.5,31,Egg,Healthy,Complete,0,Jawa Tengah,2,86363
49,7,6,66,Female,4/9/2023,267,0.81,34,Meat,Under Treatment,None,4,Jawa Tengah,3,144422
50,11,128,51,Male,4/23/2023,253,3.61,50.7,Dual Purpose,Under Treatment,Complete,7,Jawa Tengah,6,48077
