chicken_id,production_date,eggs_produced,avg_egg_weight_g,egg_quality_grade,shell_thickness_mm,feed_consumed_kg
1,2023-01-01,7,62.9,C,0.49,1.15
1,2023-01-08,6,69.1,C,0.48,1.09
1,2023-01-15,2,61.6,C,0.32,0.94
1,2023-01-22,5,65.9,C,0.49,1.02
1,2023-01-29,1,64.0,C,0.36,0.99
1,2023-02-05,0,46.2,C,0.33,1.1
1,2023-02-12,1,55.7,A,0.41,1.08
1,2023-02-19,2,61.1,A,0.37,1.08
1,2023-02-26,2,68.9,A,0.41,0.98
1,2023-03-05,0,74.3,AA,0.49,1.12
1,2023-03-12,5,46.8,A,0.47,1.13
1,2023-03-19,2,45.9,A,0.31,1.2
1,2023-03-26,5,68.6,B,0.38,0.94
1,2023-04-02,0,57.5,C,0.41,0.92
1,2023-04-09,0,65.4,C,0.36,1.14
1,2023-04-16,4,51.1,B,0.5,0.93
1,2023-04-23,3,72.4,C,0.33,1.17
1,2023-04-30,1,55.6,C,0.45,0.91
1,2023-05-07,3,69.6,AA,0.41,1.13
1,2023-05-14,4,71.4,C,0.39,0.91
1,2023-05-21,1,56.7,A,0.46,1.14
1,2023-05-28,2,56.1,B,0.46,1.16
1,2023-06-04,3,72.3,A,0.41,0.85
1,2023-06-11,0,70.4,B,0.46,1.15
1,2023-06-18,4,72.3,AA,0.36,0.82
1,2023-06-25,3,67.9,A,0.3,1.08
1,2023-07-02,2,74.6,AA,0.47,1.13
1,2023-07-09,6,72.6,AA,0.47,1.19
1,2023-07-16,5,73.9,B,0.38,0.99
1,2023-07-23,7,46.9,AA,0.37,1.19
1,2023-07-30,1,67.9,B,0.35,0.8
1,2023-08-06,2,54.6,B,0.34,0.87
1,2023-08-13,5,64.1,A,0.49,1.02
1,2023-08-20,3,54.7,C,0.41,0.84
1,2023-08-27,6,73.7,A,0.46,1.17
1,2023-09-03,5,58.6,C,0.32,0.87
1,2023-09-10,4,67.6,AA,0.43,0.89
1,2023-09-17,5,65.9,AA,0.46,1.0
1,2023-09-24,0,53.9,C,0.38,0.89
1,2023-10-01,3,54.5,C,0.48,1.14
1,2023-10-08,6,70.1,A,0.35,0.85
1,2023-10-15,7,50.1,AA,0.38,0.84
1,2023-10-22,5,68.5,A,0.36,1.15
1,2023-10-29,3,65.7,AA,0.38,0.86
1,2023-11-05,5,54.6,B,0.48,0.97
1,2023-11-12,2,51.3,B,0.41,0.91
1,2023-11-19,0,63.5,AA,0.32,0.97
1,2023-11-26,3,58.9,C,0.4,0.94
1,2023-12-03,0,55.7,C,0.36,1.06
1,2023-12-10,1,56.7,A,0.33,0.92
1,2023-12-17,5,47.3,C,0.47,1.16
1,2023-12-24,1,70.5,B,0.32,0.83
1,2023-12-31,6,69.3,AA,0.47,0.87
2,2023-01-01,5,72.3,AA,0.43,0.91
2,2023-01-08,6,53.8,AA,0.48,0.94
2,2023-01-15,7,45.1,A,0.31,0.87
2,2023-01-22,3,71.6,C,0.41,1.06
2,2023-01-29,5,47.6,A,0.35,0.83
2,2023-02-05,6,67.1,B,0.32,0.84
2,2023-02-12,4,69.4,AA,0.37,1.2
2,2023-02-19,1,70.4,AA,0.42,1.15
2,2023-02-26,1,49.5,A,0.47,0.9
2,2023-03-05,3,60.4,AA,0.35,1.03
2,2023-03-12,7,69.0,C,0.5,0.94
2,2023-03-19,1,57.1,C,0.47,1.01
2,2023-03-26,7,53.6,A,0.46,0.83
2,2023-04-02,0,69.0,B,0.42,0.99
2,2023-04-09,1,45.3,AA,0.35,1.06
2,2023-04-16,2,60.6,C,0.5,1.1
2,2023-04-23,3,68.5,B,0.45,0.97
2,2023-04-30,6,61.8,A,0.4,1.07
2,2023-05-07,0,60.7,B,0.45,1.01
2,2023-05-14,0,67.4,B,0.37,0.98
2,2023-05-21,0,62.4,C,0.32,0.85
2,2023-05-28,3,67.1,B,0.44,0.96
2,2023-06-04,3,74.2,AA,0.32,0.82
2,2023-06-11,6,58.5,A,0.41,0.97
2,2023-06-18,3,57.5,A,0.4,1.2
2,2023-06-25,2,50.8,B,0.4,1.1
2,2023-07-02,1,60.5,C,0.32,1.17
2,2023-07-09,2,60.6,B,0.37,1.1
2,2023-07-16,0,72.3,C,0.48,0.95
2,2023-07-23,7,68.6,C,0.34,1.19
2,2023-07-30,6,51.8,B,0.35,0.91
2,2023-08-06,0,54.8,AA,0.5,0.86
2,2023-08-13,7,52.5,B,0.35,0.81
2,2023-08-20,5,66.0,AA,0.42,0.97
2,2023-08-27,3,54.7,AA,0.38,1.17
2,2023-09-03,6,46.1,A,0.35,0.81
2,2023-09-10,4,58.9,C,0.36,0.89
2,2023-09-17,2,52.1,AA,0.46,0.95
2,2023-09-24,7,45.5,AA,0.43,1.19
2,2023-10-01,3,60.9,C,0.47,0.97
2,2023-10-08,4,57.2,B,0.49,0.85
2,2023-10-15,4,56.6,B,0.45,1.16
2,2023-10-22,0,71.5,A,0.32,1.03
2,2023-10-29,2,64.1,C,0.39,1.12
2,2023-11-05,5,60.0,B,0.37,0.88
2,2023-11-12,6,69.7,AA,0.45,0.97
2,2023-11-19,2,74.8,AA,0.38,0.88
2,2023-11-26,4,48.5,AA,0.34,0.94
2,2023-12-03,6,58.9,AA,0.36,0.98
2,2023-12-10,1,57.2,B,0.31,1.19
2,2023-12-17,1,59.5,C,0.45,1.2
2,2023-12-24,2,65.4,C,0.45,0.98
2,2023-12-31,1,54.6,C,0.47,1.05
9,2023-01-01,2,56.6,A,0.45,1.13
9,2023-01-08,0,49.8,B,0.48,0.99
9,2023-01-15,7,56.6,AA,0.34,1.19
9,2023-01-22,0,46.7,C,0.31,0.92
9,2023-01-29,5,50.8,B,0.45,0.98
9,2023-02-05,7,54.7,AA,0.43,0.97
9,2023-02-12,0,63.1,B,0.31,1.15
9,2023-02-19,7,49.0,A,0.37,1.03
9,2023-02-26,6,73.1,B,0.43,1.04
9,2023-03-05,4,54.4,AA,0.31,1.0
9,2023-03-12,7,59.0,C,0.43,1.16
9,2023-03-19,1,58.0,C,0.49,1.0
9,2023-03-26,7,61.7,C,0.47,1.14
9,2023-04-02,6,56.1,C,0.39,1.14
9,2023-04-09,5,59.6,A,0.36,1.07
9,2023-04-16,6,67.5,A,0.43,0.93
9,2023-04-23,2,69.0,C,0.46,0.92
9,2023-04-30,6,71.0,C,0.42,0.92
9,2023-05-07,3,60.2,B,0.41,1.05
9,2023-05-14,6,65.9,B,0.47,1.07
9,2023-05-21,0,70.5,C,0.37,0.82
9,2023-05-28,4,55.2,A,0.35,1.15
9,2023-06-04,1,74.5,A,0.32,1.18
9,2023-06-11,4,73.2,C,0.45,0.82
9,2023-06-18,0,47.9,B,0.46,1.0
9,2023-06-25,7,48.4,B,0.5,0.96
9,2023-07-02,4,60.0,AA,0.43,0.82
9,2023-07-09,0,51.2,A,0.42,1.05
9,2023-07-16,7,69.3,AA,0.41,1.14
9,2023-07-23,0,54.4,C,0.5,1.06
9,2023-07-30,4,64.4,A,0.4,0.92
9,2023-08-06,1,52.3,C,0.42,1.19
9,2023-08-13,7,48.3,A,0.5,0.81
9,2023-08-20,5,62.6,C,0.4,1.1
9,2023-08-27,2,56.6,A,0.38,1.07
9,2023-09-03,3,49.0,C,0.43,1.04
9,2023-09-10,0,72.8,AA,0.4,0.95
9,2023-09-17,7,54.7,A,0.35,0.86
9,2023-09-24,3,47.6,A,0.39,1.2
9,2023-10-01,4,48.4,C,0.33,0.85
9,2023-10-08,1,65.2,B,0.46,0.89
9,2023-10-15,2,60.8,B,0.48,1.11
9,2023-10-22,6,55.5,C,0.48,0.93
9,2023-10-29,7,53.2,A,0.41,0.93
9,2023-11-05,7,67.5,B,0.31,1.13
