market_name,product_type,date,price_per_kg,supply_kg,demand_level
Pasar Cisalak,Live Chicken,2023-01-01,47465,2658,High
Pasar Cisalak,Live Chicken,2023-01-04,44961,1288,High
Pasar Cisalak,Live Chicken,2023-01-07,60183,196,Medium
Pasar Cisalak,Live Chicken,2023-01-10,30098,2196,Medium
Pasar Cisalak,Live Chicken,2023-01-13,50806,1135,High
Pasar Cisalak,Live Chicken,2023-01-16,25317,2542,Low
Pasar Cisalak,Live Chicken,2023-01-19,27466,2109,Very High
Pasar Cisalak,Live Chicken,2023-01-22,44356,1290,Very High
Pasar Cisalak,Live Chicken,2023-01-25,42021,1775,Medium
Pasar Cisalak,Live Chicken,2023-01-28,51518,1239,Very High
Pasar Cisalak,Live Chicken,2023-01-31,45355,1578,Very High
Pasar Cisalak,Live Chicken,2023-02-03,46700,179,Very High
Pasar Cisalak,Live Chicken,2023-02-06,57219,1931,Very High
Pasar Cisalak,Live Chicken,2023-02-09,33601,2650,Low
Pasar Cisalak,Live Chicken,2023-02-12,42821,841,Medium
Pasar Cisalak,Live Chicken,2023-02-15,33517,1968,Very High
Pasar Cisalak,Live Chicken,2023-02-18,33751,2946,Low
Pasar Cisalak,Live Chicken,2023-02-21,20813,566,Medium
Pasar Cisalak,Live Chicken,2023-02-24,42900,2441,Medium
Pasar Cisalak,Live Chicken,2023-02-27,31592,1363,High
Pasar Cisalak,Live Chicken,2023-03-02,56666,1359,Very High
Pasar Cisalak,Live Chicken,2023-03-05,38124,2419,High
Pasar Cisalak,Live Chicken,2023-03-08,33272,2111,Medium
Pasar Cisalak,Live Chicken,2023-03-11,47234,1517,Medium
Pasar Cisalak,Live Chicken,2023-03-14,49876,1742,Low
Pasar Cisalak,Live Chicken,2023-03-17,38856,2756,Low
Pasar Cisalak,Live Chicken,2023-03-20,35841,883,Low
Pasar Cisalak,Live Chicken,2023-03-23,41026,1008,Very High
Pasar Cisalak,Live Chicken,2023-03-26,29767,2826,Low
Pasar Cisalak,Live Chicken,2023-03-29,35072,2864,Medium
Pasar Cisalak,Live Chicken,2023-04-01,52881,555,High
Pasar Cisalak,Live Chicken,2023-04-04,52817,1396,Low
Pasar Cisalak,Live Chicken,2023-04-07,54738,1830,High
Pasar Cisalak,Live Chicken,2023-04-10,30007,1969,Very High
Pasar Cisalak,Live Chicken,2023-04-13,50256,904,Low
Pasar Cisalak,Live Chicken,2023-04-16,44445,2523,Very High
Pasar Cisalak,Live Chicken,2023-04-19,51532,207,Very High
Pasar Cisalak,Live Chicken,2023-04-22,46685,393,Very High
Pasar Cisalak,Live Chicken,2023-04-25,49488,993,Medium
Pasar Cisalak,Live Chicken,2023-04-28,57488,2050,Low
Pasar Cisalak,Live Chicken,2023-05-01,24709,1905,High
Pasar Cisalak,Live Chicken,2023-05-04,46605,837,Medium
Pasar Cisalak,Live Chicken,2023-05-07,40044,2604,Medium
Pasar Cisalak,Live Chicken,2023-05-10,21995,2830,High
Pasar Cisalak,Live Chicken,2023-05-13,28245,2626,High
Pasar Cisalak,Live Chicken,2023-05-16,33637,718,High
Pasar Cisalak,Live Chicken,2023-05-19,44375,838,Very High
Pasar Cisalak,Live Chicken,2023-05-22,34185,863,Low
Pasar Cisalak,Live Chicken,2023-05-25,42762,491,High
Pasar Cisalak,Live Chicken,2023-05-28,32063,205,Very High
Pasar Cisalak,Live Chicken,2023-05-31,24045,2427,High
Pasar Cisalak,Live Chicken,2023-06-03,40536,130,Very High
Pasar Cisalak,Live Chicken,2023-06-06,40899,2530,Very High
Pasar Cisalak,Live Chicken,2023-06-09,41005,1813,High
Pasar Cisalak,Live Chicken,2023-06-12,40116,2625,High
Pasar Cisalak,Live Chicken,2023-06-15,45218,2312,Low
Pasar Cisalak,Live Chicken,2023-06-18,24751,1849,Low
Pasar Cisalak,Live Chicken,2023-06-21,21288,2798,Medium
Pasar Cisalak,Live Chicken,2023-06-24,44544,641,High
Pasar Cisalak,Live Chicken,2023-06-27,42591,1428,Very High
Pasar Cisalak,Live Chicken,2023-06-30,48018,2354,High
Pasar Cisalak,Live Chicken,2023-07-03,35407,446,High
Pasar Cisalak,Live Chicken,2023-07-06,31940,2187,Low
Pasar Cisalak,Live Chicken,2023-07-09,31713,1969,High
Pasar Cisalak,Live Chicken,2023-07-12,53650,2710,Low
Pasar Cisalak,Live Chicken,2023-07-15,51887,193,Low
Pasar Cisalak,Live Chicken,2023-07-18,37053,454,High
Pasar Cisalak,Live Chicken,2023-07-21,47713,964,Low
Pasar Cisalak,Live Chicken,2023-07-24,46898,1798,Medium
Pasar Cisalak,Live Chicken,2023-07-27,49973,441,Medium
Pasar Cisalak,Live Chicken,2023-07-30,43430,2456,Low
Pasar Cisalak,Live Chicken,2023-08-02,37213,880,Very High
Pasar Cisalak,Live Chicken,2023-08-05,54250,1032,Medium
Pasar Cisalak,Live Chicken,2023-08-08,24282,865,Medium
Pasar Cisalak,Live Chicken,2023-08-11,36725,2820,High
Pasar Cisalak,Live Chicken,2023-08-14,36272,1902,Very High
Pasar Cisalak,Live Chicken,2023-08-17,57490,267,Very High
Pasar Cisalak,Live Chicken,2023-08-20,36154,1806,Low
Pasar Cisalak,Live Chicken,2023-08-23,33310,1349,Medium
Pasar Cisalak,Live Chicken,2023-08-26,36023,235,High
Pasar Cisalak,Live Chicken,2023-08-29,56122,535,Very High
Pasar Cisalak,Live Chicken,2023-09-01,45156,783,Medium
Pasar Cisalak,Live Chicken,2023-09-04,32966,797,Low
Pasar Cisalak,Live Chicken,2023-09-07,21418,624,High
Pasar Cisalak,Live Chicken,2023-09-10,43089,2417,High
Pasar Cisalak,Live Chicken,2023-09-13,52548,1235,Very High
Pasar Cisalak,Live Chicken,2023-09-16,42421,2988,Medium
Pasar Cisalak,Live Chicken,2023-09-19,41152,1025,High
Pasar Cisalak,Live Chicken,2023-09-22,39265,1236,High
Pasar Cisalak,Live Chicken,2023-09-25,44963,563,Medium
Pasar Cisalak,Live Chicken,2023-09-28,57199,600,High
Pasar Cisalak,Live Chicken,2023-10-01,29602,1539,Medium
Pasar Cisalak,Live Chicken,2023-10-04,57329,2699,Medium
Pasar Cisalak,Live Chicken,2023-10-07,47280,2536,High
Pasar Cisalak,Live Chicken,2023-10-10,42302,491,High
Pasar Cisalak,Live Chicken,2023-10-13,28351,448,Low
Pasar Cisalak,Live Chicken,2023-10-16,30366,2835,Very High
Pasar Cisalak,Live Chicken,2023-10-19,35053,670,Medium
Pasar Cisalak,Live Chicken,2023-10-22,40972,1561,Low
