fish_id,fish_name,weight_kg,length_cm,catch_date,province,fishing_method,freshness_score,category_id,location_id,fisher_id
1,Catfish,19.83,115.1,7/6/2023,Papua,Trap,3,4,4,381
2,Carp,21.02,101.8,11/19/2023,Sulawesi Selatan,Hand Line,10,4,12,337
3,Anchovy,43.1,184.4,5/1/2023,Jawa Timur,Purse Seine,4,2,18,144
4,Sole,36.27,106.9,5/25/2023,Maluku,Gill Net,10,1,13,271
5,Sole,15.7,162.8,3/29/2023,Jawa Timur,Trawling,2,3,20,244
6,King Fish,12.2,58.2,8/30/2023,Jawa Tengah,Hand Line,6,2,12,254
7,King Fish,46.33,117.3,4/5/2023,Sumatera Utara,Gill Net,9,4,19,307
8,Salmon,41.02,101.4,11/3/2023,Bali,Trawling,8,4,2,338
9,Snapper,28.42,74.7,3/16/2023,Kalimantan Selatan,Gill Net,1,2,1,377
10,Sardine,36.45,95.3,2/8/2023,Jawa Barat,Long Line,10,1,16,44
11,Halibut,29.48,72.1,12/17/2023,Jawa Timur,Purse Seine,9,5,12,215
12,King Fish,22.72,106.7,12/23/2023,Jawa Barat,Purse Seine,3,4,12,403
13,Carp,30.34,97.5,1/19/2023,Jawa Timur,Long Line,3,3,7,244
14,Yellowtail,42.66,187.4,6/20/2023,Jawa Barat,Purse Seine,5,3,14,315
15,Barramundi,12.13,88,9/5/2023,Maluku,Gill Net,6,4,11,159
16,Cod,21.57,190.8,1/26/2023,Lampung,Purse Seine,8,2,11,466
17,Swordfish,38.8,32.8,2/15/2023,Jawa Tengah,Gill Net,6,2,13,47
18,Snapper,11.64,108.2,7/18/2023,Bali,Long Line,7,5,7,188
19,Grouper,33.63,59.9,7/29/2023,Jawa Barat,Long Line,9,3,8,422
20,Cod,45.25,171.8,6/9/2023,Papua,Hand Line,2,3,13,278
21,Sole,25.18,162,12/16/2023,Jawa Barat,Gill Net,9,4,11,129
22,Anchovy,37.43,34,12/6/2023,Kalimantan Selatan,Trap,7,5,16,115
23,Herring,3.7,21.9,6/1/2023,Maluku,Trap,6,1,2,150
24,Snapper,44.56,191,11/7/2023,Lampung,Purse Seine,10,2,18,235
25,Flounder,37.67,115.6,2/26/2023,Papua,Gill Net,9,2,12,53
26,Yellowtail,37.89,128.3,5/31/2023,Jawa Timur,Trap,6,1,16,249
27,Flounder,35.19,43.5,12/17/2023,Maluku,Hand Line,8,2,7,265
28,Amberjack,7.44,128.3,9/22/2023,Bali,Long Line,7,5,10,443
29,Pomfret,36.31,49.7,3/20/2023,Sumatera Utara,Gill Net,5,2,2,295
30,Grouper,42.67,110.7,8/31/2023,Bali,Trap,1,4,10,326
31,Sole,48.26,109.5,4/10/2023,Jawa Tengah,Gill Net,10,4,20,127
32,Grouper,25.19,146.4,12/22/2023,Papua,Trap,10,4,2,80
33,Barramundi,18.39,73.1,11/7/2023,Bali,Long Line,6,5,12,477
34,Sole,3.82,40,5/9/2023,Sumatera Utara,Gill Net,7,1,8,67
35,Catfish,17.55,69.5,4/12/2023,Maluku,Trap,9,3,4,437
36,King Fish,3.55,162.8,8/3/2023,Jawa Tengah,Trawling,2,2,15,187
37,Salmon,16.03,67.2,9/22/2023,Jawa Barat,Purse Seine,9,4,10,109
38,Barramundi,30.64,99.3,7/25/2023,Papua,Trawling,5,3,1,456
39,Flounder,45.87,90,2/6/2023,Bali,Trawling,10,1,3,173
40,Salmon,43.85,76.7,2/27/2023,Maluku,Trawling,5,4,10,94
41,Amberjack,35.7,134.3,5/9/2023,Kalimantan Selatan,Purse Seine,2,5,14,316
42,Mahi-mahi,16.64,98.9,12/15/2023,Sumatera Utara,Trap,5,4,7,218
43,Sea Bass,10.3,78.4,12/17/2023,Maluku,Purse Seine,4,3,6,386
44,Sole,36.41,136.3,7/30/2023,Lampung,Trap,2,5,12,65
45,Trout,0.71,170.4,12/4/2023,Lampung,Trawling,3,3,17,170
46,Pomfret,34.94,34.8,6/9/2023,Lampung,Hand Line,10,3,10,147
47,Grouper,35.2,192.6,10/26/2023,Sumatera Utara,Purse Seine,7,4,20,207
48,Halibut,13.35,149.1,9/27/2023,Sumatera Utara,Trawling,6,3,12,210
49,Sea Bass,8.52,170.9,1/4/2023,Jawa Barat,Hand Line,5,4,17,378
