market_name,fish_type,date,price_per_kg,supply_kg,demand_level
Muara Baru,Tuna,2023-01-01,210077,755,Low
Muara Baru,Tuna,2023-01-08,111039,755,Low
Muara Baru,Tuna,2023-01-15,199587,1710,Low
Muara Baru,Tuna,2023-01-22,192715,832,Low
Muara Baru,Tuna,2023-01-29,148147,394,Medium
Muara Baru,Tuna,2023-02-05,194451,1140,Medium
Muara Baru,Tuna,2023-02-12,160551,446,High
Muara Baru,Tuna,2023-02-19,207217,720,Low
Muara Baru,Tuna,2023-02-26,110741,359,Low
Muara Baru,Tuna,2023-03-05,100527,1509,High
Muara Baru,Tuna,2023-03-12,38255,1509,High
Muara Baru,Tuna,2023-03-19,44733,1471,High
Muara Baru,Tuna,2023-03-26,119923,461,Medium
Muara Baru,Tuna,2023-04-02,212653,1517,High
Muara Baru,Tuna,2023-04-09,235801,1986,Medium
Muara Baru,Tuna,2023-04-16,144406,1367,Medium
Muara Baru,Tuna,2023-04-23,143785,341,High
Muara Baru,Tuna,2023-04-30,127084,993,Low
Muara Baru,Tuna,2023-05-07,101700,1453,Medium
Muara Baru,Tuna,2023-05-14,206634,823,Medium
Muara Baru,Tuna,2023-05-21,78739,1653,Low
Muara Baru,Tuna,2023-05-28,249996,1582,High
Muara Baru,Tuna,2023-06-04,64355,1268,High
Muara Baru,Tuna,2023-06-11,176257,1657,Low
Muara Baru,Tuna,2023-06-18,201749,1905,Low
Muara Baru,Tuna,2023-06-25,57714,1667,Low
Muara Baru,Tuna,2023-07-02,58904,353,Medium
Muara Baru,Tuna,2023-07-09,257649,1948,High
Muara Baru,Tuna,2023-07-16,37372,1758,Medium
Muara Baru,Tuna,2023-07-23,86891,1925,Medium
Muara Baru,Tuna,2023-07-30,166438,700,High
Muara Baru,Tuna,2023-08-06,65192,540,High
Muara Baru,Tuna,2023-08-13,53535,1504,High
Muara Baru,Tuna,2023-08-20,140233,1041,Low
Muara Baru,Tuna,2023-08-27,89378,1482,Medium
Muara Baru,Tuna,2023-09-03,70957,1042,Medium
Muara Baru,Tuna,2023-09-10,210147,664,High
Muara Baru,Tuna,2023-09-17,213376,349,High
Muara Baru,Tuna,2023-09-24,200380,1019,Medium
Muara Baru,Tuna,2023-10-01,178824,1153,Medium
