goat_id,breed,gender,birth_date,age_months,weight_kg,height_cm,health_status,market_price,owner_id,farm_id,registration_date
GT0001,Toggenburg,Male,9/7/2019,69,16.63,62,Mild Illness,657,OWN009,FRM004,12/29/2022
GT0002,Toggenburg,Male,3/31/2017,99,53.38,47,Healthy,391,OWN014,FRM008,9/29/2021
GT0003,LaMancha,Male,9/24/2019,69,51.48,79,Quarantine,651,OWN029,FRM019,9/10/2020
GT0004,Boer,Male,9/8/2021,45,64.32,55,Quarantine,896,OWN018,FRM005,3/19/2022
GT0005,Nubian,Female,2/18/2017,100,21.64,69,Healthy,935,OWN023,FRM020,4/30/2024
GT0006,Boer,Male,4/28/2019,74,62.43,79,Healthy,975,OWN006,FRM018,11/7/2020
GT0007,Boer,Female,4/7/2020,62,52.53,49,Healthy,666,OWN050,FRM010,5/5/2025
GT0008,Saanen,Male,4/1/2016,111,71.32,69,Under Treatment,1128,OWN041,FRM012,6/7/2017
GT0009,Nubian,Female,3/26/2021,51,38.09,62,Healthy,1447,OWN041,FRM006,3/13/2025
GT0010,LaMancha,Male,10/2/2018,81,25.62,69,Under Treatment,1340,OWN015,FRM011,4/17/2024
GT0011,Oberhasli,Male,8/30/2023,21,29.89,47,Under Treatment,1021,OWN018,FRM003,3/4/2024
GT0012,Nubian,Female,5/16/2019,73,28.82,76,Quarantine,1139,OWN010,FRM009,5/29/2022
GT0013,Nubian,Male,1/5/2018,90,63.42,79,Under Treatment,1397,OWN028,FRM019,6/17/2018
GT0014,Alpine,Female,6/17/2019,72,29.26,53,Quarantine,386,OWN049,FRM002,7/30/2022
GT0015,Oberhasli,Male,8/22/2016,106,24.93,55,Quarantine,1421,OWN005,FRM013,9/11/2019
GT0016,Alpine,Female,8/26/2023,21,49.39,80,Healthy,434,OWN044,FRM018,11/26/2023
GT0017,Oberhasli,Female,2/25/2017,100,64.96,66,Healthy,801,OWN028,FRM006,2/22/2022
GT0018,Alpine,Male,10/11/2016,105,77,61,Mild Illness,1239,OWN007,FRM010,2/23/2022
GT0019,Oberhasli,Male,7/31/2018,83,24.93,55,Healthy,1426,OWN021,FRM016,7/15/2022
GT0020,Saanen,Male,11/27/2018,79,75.39,64,Mild Illness,318,OWN016,FRM019,9/7/2024
GT0021,Saanen,Male,3/20/2023,26,62.57,49,Mild Illness,462,OWN043,FRM016,12/27/2024
GT0022,LaMancha,Male,6/28/2022,35,32.23,83,Quarantine,633,OWN035,FRM007,8/14/2022
GT0023,Toggenburg,Female,12/25/2022,29,40.93,68,Quarantine,1259,OWN029,FRM004,3/11/2024
GT0024,Nubian,Male,6/20/2017,96,19.16,46,Mild Illness,1405,OWN015,FRM001,8/3/2017
GT0025,Saanen,Male,9/23/2019,69,29.88,47,Under Treatment,345,OWN033,FRM008,8/30/2020
GT0026,Boer,Female,12/25/2016,102,28.93,53,Quarantine,697,OWN031,FRM014,4/21/2023
GT0027,Nubian,Male,8/30/2023,21,21.3,72,Under Treatment,1067,OWN027,FRM015,9/25/2024
GT0028,Oberhasli,Male,5/4/2018,86,58.77,51,Healthy,1024,OWN047,FRM011,10/3/2022
GT0029,Oberhasli,Male,4/3/2022,38,31.16,57,Quarantine,487,OWN028,FRM006,4/22/2022
GT0030,Boer,Female,4/2/2022,38,31.24,49,Quarantine,1327,OWN007,FRM002,4/7/2024
GT0031,Toggenburg,Male,6/1/2024,12,77.98,60,Mild Illness,1032,OWN032,FRM016,1/27/2025
GT0032,Nubian,Female,4/10/2022,38,73.66,55,Quarantine,204,OWN025,FRM009,5/14/2025
GT0033,Oberhasli,Female,1/15/2019,77,33.54,80,Quarantine,517,OWN013,FRM010,7/17/2024
GT0034,Nubian,Male,2/23/2016,112,52.65,79,Healthy,842,OWN004,FRM002,2/8/2020
GT0035,LaMancha,Female,6/23/2019,72,47.69,78,Mild Illness,316,OWN033,FRM003,12/8/2019
GT0036,Oberhasli,Male,12/24/2020,54,19.45,49,Mild Illness,1026,OWN008,FRM019,7/18/2022
GT0037,Nubian,Male,11/25/2021,42,55.26,71,Under Treatment,734,OWN014,FRM011,12/7/2022
GT0038,Nubian,Female,5/14/2021,49,40.73,64,Quarantine,847,OWN049,FRM003,6/29/2022
GT0039,Saanen,Female,12/5/2020,54,55.38,81,Healthy,350,OWN035,FRM007,5/24/2022
GT0040,LaMancha,Female,9/24/2018,81,23.61,67,Healthy,700,OWN024,FRM010,7/12/2019
GT0041,Nubian,Female,1/16/2023,29,69.19,64,Healthy,1335,OWN020,FRM004,7/11/2023
GT0042,Nubian,Female,5/20/2020,61,22.5,51,Mild Illness,757,OWN019,FRM020,11/17/2023
GT0043,Nubian,Female,9/11/2017,94,28.23,85,Under Treatment,1235,OWN032,FRM009,12/16/2019
GT0044,Oberhasli,Male,11/18/2021,43,21,72,Under Treatment,290,OWN001,FRM011,10/20/2023
GT0045,Oberhasli,Male,12/15/2019,66,56.41,61,Mild Illness,1104,OWN036,FRM014,6/13/2020
GT0046,LaMancha,Male,8/14/2019,70,22.27,54,Healthy,956,OWN038,FRM018,6/3/2021
GT0047,Nubian,Female,11/25/2018,79,23.28,64,Under Treatment,281,OWN023,FRM007,5/2/2022
GT0048,Toggenburg,Male,4/20/2020,62,58.35,67,Quarantine,1471,OWN048,FRM005,3/30/2025
GT0049,Nubian,Male,3/29/2019,75,78.45,56,Quarantine,250,OWN012,FRM011,12/4/2024
GT0050,Oberhasli,Female,7/5/2020,59,67.15,60,Under Treatment,526,OWN045,FRM004,3/11/2022
GT0051,Alpine,Male,3/3/2017,100,70.81,59,Mild Illness,1142,OWN023,FRM010,4/22/2018
GT0052,Oberhasli,Male,6/22/2021,48,29.49,57,Quarantine,872,OWN018,FRM003,10/24/2024
GT0053,Oberhasli,Female,3/1/2022,39,37.82,77,Quarantine,1298,OWN022,FRM001,9/8/2023
GT0054,Saanen,Female,2/9/2018,89,26.61,61,Healthy,422,OWN039,FRM014,6/18/2018
GT0055,Boer,Female,8/17/2023,21,43.37,77,Healthy,988,OWN037,FRM007,10/6/2024
GT0056,Boer,Male,9/9/2019,69,61.07,45,Mild Illness,945,OWN028,FRM003,1/11/2025
GT0057,Toggenburg,Female,6/15/2016,109,55.51,52,Under Treatment,1238,OWN020,FRM014,3/5/2021
GT0058,Boer,Female,6/24/2016,108,60.32,80,Mild Illness,592,OWN027,FRM013,1/24/2017
GT0059,Toggenburg,Male,12/27/2022,29,55.01,64,,1322,OWN001,FRM010,3/17/2024
GT0060,Boer,Male,4/12/2020,62,42.94,82,Under Treatment,1152,OWN029,FRM015,11/29/2021
GT0061,Toggenburg,Male,12/8/2019,66,48.23,55,Healthy,781,OWN033,FRM020,4/25/2020
GT0062,Boer,Male,9/23/2020,57,68.2,60,Under Treatment,660,OWN013,FRM005,12/2/2024
GT0063,Saanen,Male,1/10/2024,17,30.91,75,Healthy,1132,OWN027,FRM019,4/12/2025
GT0064,Nubian,Female,2/21/2018,88,47.13,60,Mild Illness,211,OWN049,FRM004,12/11/2021
GT0065,Oberhasli,Female,11/25/2022,30,29.22,78,,302,OWN036,FRM008,11/1/2023
GT0066,Oberhasli,Male,5/18/2021,49,44.67,74,Under Treatment,1106,OWN040,FRM017,12/29/2022
GT0067,Alpine,Female,9/13/2021,45,73.32,75,Quarantine,730,OWN049,FRM008,7/11/2022
GT0068,Oberhasli,Female,3/11/2023,27,64.78,78,Quarantine,1483,OWN016,FRM009,11/1/2023
GT0069,Alpine,Male,2/21/2017,100,61.38,60,Under Treatment,887,OWN021,FRM018,12/18/2021
GT0070,Saanen,Male,1/4/2017,102,24.8,69,Mild Illness,638,OWN005,FRM014,9/15/2017
GT0071,Alpine,Female,11/3/2020,55,50.27,71,Healthy,623,OWN027,FRM013,12/1/2021
GT0072,Oberhasli,Male,8/9/2020,58,70.69,81,Quarantine,1176,OWN001,FRM012,6/13/2024
GT0073,Boer,Female,5/23/2023,24,70.47,71,Mild Illness,1199,OWN015,FRM009,10/29/2023
GT0074,Alpine,Female,10/31/2016,104,16.89,66,Quarantine,538,OWN030,FRM005,11/21/2017
GT0075,LaMancha,Male,10/30/2016,104,73.95,82,Healthy,371,OWN042,FRM014,12/9/2016
GT0076,Nubian,Female,11/6/2022,31,26.81,61,Quarantine,870,OWN014,FRM015,1/12/2023
GT0077,Boer,Female,2/12/2017,101,64.48,69,Under Treatment,1063,OWN017,FRM003,5/27/2025
GT0078,Alpine,Male,4/9/2021,50,63.69,48,Under Treatment,659,OWN042,FRM003,7/3/2023
GT0079,Oberhasli,Male,3/4/2021,51,64.03,60,Mild Illness,241,OWN040,FRM005,3/18/2024
GT0080,Nubian,Male,10/6/2018,81,45.78,52,Mild Illness,1152,OWN045,FRM009,2/7/2023
GT0081,Oberhasli,Female,2/22/2018,88,25.91,83,Healthy,535,OWN020,FRM004,4/25/2020
GT0082,LaMancha,Male,10/6/2020,56,75.38,81,Quarantine,1012,OWN046,FRM007,3/14/2025
GT0083,Saanen,Male,11/14/2015,116,21.62,64,Healthy,1359,OWN003,FRM012,3/31/2024
GT0084,LaMancha,Female,10/29/2016,104,58,49,Under Treatment,225,OWN027,FRM016,12/26/2021
GT0085,Saanen,Female,4/10/2019,74,77.45,85,Quarantine,513,OWN028,FRM006,4/27/2021
GT0086,Toggenburg,Female,8/2/2015,119,55.03,79,Quarantine,1152,OWN028,FRM019,7/29/2023
GT0087,Boer,Female,6/29/2016,108,70.36,50,Under Treatment,1123,OWN016,FRM015,11/19/2022
GT0088,LaMancha,Female,3/21/2024,14,36.87,76,Under Treatment,572,OWN032,FRM007,7/22/2024
