farm_id,farm_name,farm_address,city,land_area_acres,max_capacity,farm_type,established_year,organic_certified,latitude,longitude
FRM001,Dixon and Sons Farm,"45355 Byrd Trail
Hollyville, PW 31816",North Teresaport,67.22,412,Semi Modern,2021,True,30.780059,-80.521023
FRM002,Fuller-Johnson Farm,"2856 Russell Dale Suite 702
New Dianeville, CO 82718",Morrowport,21.2,419,Traditional,2005,False,25.935854,-71.740869
FRM003,Hull Group Farm,"5083 Bailey Points Suite 744
Murphymouth, WV 28951",Davidtown,54.45,226,Modern,2018,False,35.471101,-65.091441
FRM004,Clark Inc Farm,"927 Joshua Summit Apt. 899
Whitakerton, CT 92360",Mejiamouth,87.31,341,Modern,1991,True,38.704906,-117.183599
FRM005,Russell-Carpenter Farm,"07749 Duncan Alley
Cookfort, NY 23407",Lake Ericberg,40.45,309,Modern,2023,True,36.729004,-102.866579
FRM006,Crane-Bailey Farm,"541 Autumn Meadows Suite 675
North Patrick, LA 22721",Ayalatown,37.1,474,Organic,2001,True,36.142844,-71.95039
FRM007,Rodriguez-Lee Farm,"1169 Ann Villages
Angelaview, OK 02349",West Gregoryview,7.21,352,Semi Modern,2006,False,36.119471,-88.263931
FRM008,"Miller, Allen and Graham Farm","71934 Black Camp
Michaelbury, NH 49647",Lake Jeffview,58.61,365,Organic,2003,True,36.388677,-66.303394
FRM009,Bowman-Obrien Farm,"11051 Hodges Unions
New Kimberly, NV 37394",South Adrienneview,113.64,86,Semi Modern,2010,True,45.814604,-123.158107
FRM010,Lawrence-White Farm,"09380 Hatfield Valleys Apt. 111
Thomasfort, VA 95561",North Sarah,66.72,106,Organic,2010,True,37.678995,-66.74309
FRM011,"Shepherd, Mckinney and Mcfarland Farm","PSC 7820, Box 6136
APO AE 77968",West Nicholasfort,56.66,154,Organic,2015,True,30.206738,-115.215885
FRM012,Cuevas-Mendez Farm,"969 Lynn Knoll Suite 630
Russellfurt, WA 32401",Ericaview,19.17,102,Organic,2007,False,30.767693,-82.895539
FRM013,Lawrence-Reynolds Farm,"097 Heather Neck
Port Jennifer, MI 13411",Lake Laura,65.72,211,Modern,2009,True,40.252546,-76.315928
FRM014,"Good, Lopez and Hill Farm","31402 Madden Plains
West Hunter, SD 29144",New Stephenburgh,56.27,192,Modern,2018,False,43.233647,-77.488574
FRM015,Johnston-Logan Farm,"8456 Lynn Throughway Suite 891
South Vickifurt, VA 53330",North James,100.52,333,Organic,1998,True,27.155626,-71.680552
FRM016,Montoya-Jackson Farm,"27998 Campbell Turnpike
Lake Lauren, NJ 55178",Chelseahaven,62.64,363,Semi Modern,2002,False,39.648702,-75.186912
FRM017,King Ltd Farm,"40904 Chapman Pines
Powellton, NE 10122",Port Daryl,22.42,396,Organic,2016,False,25.199737,-99.95142
FRM018,Mcintyre Inc Farm,"Unit 7092 Box 0117
DPO AE 56025",South Bradley,15.36,93,Organic,2012,False,37.626185,-68.539999
FRM019,Edwards-Leach Farm,"08179 Byrd Common Suite 065
Fritzport, NE 18922",New Stevenburgh,43.11,91,Modern,1991,True,32.775235,-102.801855
FRM020,Smith Ltd Farm,"823 Nina Dam Apt. 581
East Tammy, KS 06205",South Kaylastad,13.25,485,Traditional,1993,False,34.59725,-123.215745
FRM021,"Day, Lopez and Wallace Farm","058 Raymond Corners Apt. 085
Wandaland, IL 35848",North Gary,51.38,400,Organic,2020,True,40.349021,-113.731997
FRM022,Reyes-Harris Farm,"805 Lisa Branch
Lake Robinview, ME 85046",West Ashleyborough,52.92,70,Modern,2003,True,47.010132,-70.737558
FRM023,Oneal-Ortega Farm,"668 Holly Valley Apt. 235
North Manuel, TX 96252",Laurafort,51.58,175,Semi Modern,2021,True,43.684823,-73.752004
FRM024,Ferrell LLC Farm,"415 Jacob Keys
Rodrigueztown, MD 11542",Gregoryburgh,51.21,409,Traditional,1990,False,40.900184,-97.825552
FRM025,Wolfe-Charles Farm,"PSC 4763, Box 6886
APO AP 19949",Kristenhaven,99.59,83,Traditional,2014,True,41.075884,-83.712667
FRM026,Moore-Mason Farm,"74484 Danielle Lane
Jameschester, AS 48555",New Anthonybury,91.41,106,Organic,2011,True,35.055798,-122.480695
FRM027,Rivers Group Farm,"744 Steven Throughway Suite 589
New Aliciachester, MI 20068",Perezshire,33.11,296,Semi Modern,1996,False,29.778074,-96.694569
FRM028,Wong-Davis Farm,"57454 Michael Motorway
Gomezburgh, MT 34349",Theresatown,80.25,60,Semi Modern,2011,False,46.033282,-95.911495
FRM029,Thomas-Franklin Farm,"17704 Erika Spur
New Margaretchester, WY 37925",Michaelmouth,7.98,145,Traditional,1993,False,47.525726,-68.537194
FRM030,Andrews-Walker Farm,"273 Sweeney Hills Suite 895
North Jason, MA 50555",Ericstad,44.41,384,Traditional,2018,True,46.780951,-121.582114
FRM031,Ford Inc Farm,"62332 Alvarado Cliffs
Danielchester, VI 77423",South Jaymouth,39.66,145,Modern,1999,True,28.145934,-104.229767
FRM032,Robertson-Martin Farm,"Unit 7629 Box 7241
DPO AA 63425",Valeriefort,32.51,460,Semi Modern,2002,False,39.619773,-83.822517
FRM033,Patterson PLC Farm,"7588 Johnson Pass
Port Tiffanystad, MO 18779",North Michelle,26.07,380,Traditional,2001,False,29.778445,-124.564097
FRM034,Greene Inc Farm,"USCGC Jackson
FPO AA 64687",West Tammy,40.39,386,Semi Modern,2005,True,30.232998,-87.261236
