goat_id,examination_date,diagnosis,medication,dosage,treatment_cost,veterinarian,notes
GT0001,2025-02-22,Pink Eye,Antibiotics,1 ml,212,Jasmine Campbell,Day find thing look lot. Specific rich medical hotel. Good wear so community.
GT0003,2025-02-03,Parasites,Antibiotics,3 ml,176,Christopher Anderson,Expert research out. Friend team ever ahead large whether. City sport method least.
GT0004,2025-04-11,Pink Eye,Antibiotics,2 ml,233,April Atkins,Alone through vote affect music stock reveal lead. With something point follow.
GT0008,2025-02-12,Parasites,Iodine,5 ml,162,Jerry Burton,Take guess business second consider. Remain among wall. Meet commercial rule.
GT0010,2025-05-11,Diarrhea,Ivermectin,1 ml,135,Alexis Marshall,Center clear box federal part. Role fast city staff. Yet front so occur choose.
GT0011,2025-04-16,Scabies,Vitamins,3 ml,93,Chris Fisher,Read summer there candidate late. Bag student bed. Discover think something surface similar total.
GT0012,2025-05-05,Pneumonia,Ivermectin,4 ml,180,Robert Peterson,Should call field. Central early treatment consider arm exactly paper your.
GT0013,2025-03-16,Diarrhea,Ivermectin,2 ml,150,Sandra Mitchell,National clearly use there meet particularly for. Sport argue more work.
GT0014,2025-05-27,Parasites,Antibiotics,3 ml,32,Jeff Johnson,Save east argue foot leave. Themselves agree degree list.
GT0015,2025-05-11,Pink Eye,Vitamins,5 ml,146,Joshua Allen,Personal town health. Unit officer likely crime two region. Lay quality white far between law have.
GT0018,2025-01-30,Pink Eye,Vitamins,2 ml,56,Jennifer Jones,Camera our any check until owner. Center imagine resource meet when letter base.
GT0020,2025-05-30,Pneumonia,Ivermectin,2 ml,185,Emily Harris,President cut worry enter answer others evening picture. National report discuss.
GT0021,2025-03-28,Diarrhea,Vitamins,2 ml,169,Donald Riley,President national we which. Difference cost cold far line edge.
GT0022,2025-03-08,Scabies,Iodine,1 ml,244,Mrs. Rhonda Watkins,"Rich travel heavy exactly.
Within candidate choice itself. Too so probably."
GT0023,2025-05-07,Pink Eye,Ivermectin,4 ml,115,Michael Wilson,Simply pass serious past start. Discuss dream whose keep another. Keep listen appear fight.
GT0024,2025-01-17,Pneumonia,Vitamins,5 ml,96,Vanessa Robertson,Manage part young image can wish million use.
GT0025,2025-02-14,Pink Eye,Ivermectin,4 ml,59,Mario Robbins,Government total low relate financial. Go heavy hold trial seat head safe.
GT0026,2025-05-19,Parasites,Iodine,3 ml,229,Melissa Nguyen,"Gun strong foot.
Public cold least cover knowledge successful thus. Where tax low director yes if."
GT0027,2025-04-26,Scabies,Sulfur,5 ml,110,Troy Allen,Billion act or pattern reality mouth. Letter face another west. Be rich only.
GT0029,2025-03-25,Pink Eye,Sulfur,1 ml,139,Valerie Davis,Country military amount develop sea threat serve. Turn through leave I want nothing drive.
GT0030,2025-02-06,Scabies,Vitamins,1 ml,240,Karen Dalton,Sing wear determine. Fall artist night be than blue. They lose line TV bad theory.
GT0031,2025-02-28,Pink Eye,Antibiotics,2 ml,187,Ray Horne,Sort threat doctor strategy. Miss attorney often yeah event much baby.
GT0032,2025-05-08,Mastitis,Antibiotics,1 ml,62,Jason Montgomery,Month difference space mouth. Information grow sing reveal off small card.
GT0033,2025-02-18,Parasites,Sulfur,5 ml,72,Amber Mendoza,Parent indeed bed piece science possible.
GT0035,2025-03-23,Scabies,Ivermectin,3 ml,79,Brian Williams,"Focus industry deal check risk bad still however.
Body public ability away."
GT0036,2025-03-09,Pink Eye,Vitamins,3 ml,227,Tiffany Robinson,Page try public shake term my success. Start new around thousand really happy.
GT0037,2025-05-20,Scabies,Iodine,1 ml,77,Brianna Frederick,Support parent avoid nothing quality who green. Add discover fight military step shoulder itself.
GT0038,2025-06-02,Pneumonia,Iodine,4 ml,156,Christopher Casey,Writer office any Republican share only television.
GT0042,2025-03-17,Pneumonia,Sulfur,3 ml,246,Suzanne Lambert,Team economic few require. Rest popular part light various expect read.
GT0043,2025-05-07,Scabies,Antibiotics,2 ml,121,Harold Hanson,Specific wall same trouble mouth. With else country.
GT0044,2025-01-28,Diarrhea,Ivermectin,1 ml,78,Bridget Thomas,"Produce particular suffer machine. Where recent color field.
Ok free report consider court."
GT0045,2025-01-29,Pink Eye,Antibiotics,1 ml,55,Teresa Craig,Single image notice much. Effort catch senior find southern investment.
GT0047,2025-03-12,Pink Eye,Sulfur,2 ml,26,Jessica Robinson,Visit leg while level break way ground. Alone catch center almost tell nice western.
GT0048,2025-01-19,Pneumonia,Ivermectin,2 ml,120,Lisa Burnett,Great table finally person. Realize wife admit design so cultural.
GT0049,2025-04-15,Pneumonia,Ivermectin,2 ml,37,Anthony Meyers,Wall teach reduce voice notice cause what.
GT0050,2025-05-19,Pink Eye,Iodine,5 ml,125,Henry Huber,Rule animal tend experience truth find. Right enough this most about talk everything.
GT0051,2025-02-01,Scabies,Iodine,3 ml,71,Phillip Smith,Arrive benefit trade red contain accept. Develop family paper turn.
GT0052,2025-04-23,Mastitis,Sulfur,3 ml,189,Sarah Hawkins,Executive paper form owner while.
GT0053,2025-03-23,Pink Eye,Sulfur,4 ml,29,April Powell,Set treatment pressure thing above office. Wrong tend stuff source.
GT0056,2025-03-16,Diarrhea,Ivermectin,2 ml,99,Jerome Mcneil,Raise career wall remember tell. Politics happy green nor relate leg sense.
GT0057,2025-05-02,Pneumonia,Sulfur,2 ml,43,Taylor Andrews,Address last spend bar beat worry. Recently interest week trial.
GT0058,2025-04-04,Pneumonia,Vitamins,3 ml,59,Kelsey Bird,Around experience project which road test teach. Off prevent lot message.
GT0059,2025-01-22,Diarrhea,Vitamins,2 ml,243,Mark Campbell,Resource magazine test investment between. Ever between available night thought pressure.
GT0060,2025-02-18,Parasites,Sulfur,5 ml,51,Michael Cooley,"Forget industry dream whose.
He factor interest ability short. Current grow suffer sign."
GT0062,2025-03-16,Pink Eye,Vitamins,4 ml,115,Katie Miller,Identify feeling fly. Indicate material mention.
GT0064,2025-04-28,Pink Eye,Vitamins,1 ml,194,Kevin Long,"Ask see reduce source standard. Question education along already.
Recognize study street way task."
GT0065,2025-04-12,Pink Eye,Ivermectin,3 ml,107,Julie Morgan,Cut study game economy. Agree anything finally thousand. Answer reflect improve eight.
GT0066,2025-05-31,Pneumonia,Iodine,1 ml,136,Cheryl Fernandez,Can think establish same. Establish sit whatever such find region.
GT0067,2025-02-21,Pneumonia,Vitamins,4 ml,159,Amy Dunn,Side consider bank word. Account share economic feeling form next. Herself value can line four.
GT0068,2025-04-16,Mastitis,Antibiotics,5 ml,62,William Butler,Between concern particular measure read within total commercial.
GT0069,2025-03-26,Pneumonia,Ivermectin,5 ml,153,John Edwards,Food place certainly sign. Work before green.
GT0070,2025-02-04,Pink Eye,Sulfur,4 ml,128,Lindsey Rogers,Option occur account he no. See article TV interesting down exactly.
GT0072,2025-06-02,Parasites,Ivermectin,5 ml,247,Corey Berry,People ok anything. Black ground head network cold bit.
GT0073,2025-02-09,Diarrhea,Ivermectin,1 ml,137,Holly Kim,Class minute once quality likely gun.
GT0074,2025-03-06,Pneumonia,Iodine,5 ml,180,Terry Salinas,Prevent argue suggest magazine resource. Character theory represent without member.
GT0076,2025-05-12,Parasites,Ivermectin,4 ml,48,Michael Anderson,Bank worker capital. Light scientist talk clear today. Success significant past method pressure.
GT0077,2025-03-13,Pink Eye,Ivermectin,2 ml,248,Wayne Mann,Fund about expect bring.
GT0078,2025-04-29,Parasites,Antibiotics,1 ml,120,Randy Foster,Million guy report heavy city party in. He woman write cultural get animal mind.
GT0079,2025-05-16,Pneumonia,Sulfur,4 ml,143,Alyssa Hoffman,Foot simple peace recognize make themselves. Cause option democratic many teacher job oil.
GT0080,2025-01-20,Pneumonia,Antibiotics,1 ml,250,Patrick Pacheco,Election social smile happy. Church perform city still seem.
GT0082,2025-03-23,Diarrhea,Antibiotics,3 ml,183,John Floyd,Main power fine into. Apply place read nation knowledge.
GT0084,2025-03-06,Scabies,Vitamins,3 ml,102,Mike Ortiz,Along owner sense manager.
GT0085,2025-04-07,Pneumonia,Ivermectin,4 ml,136,Edward Wells,"Yet candidate civil try current. Front ok job little.
Work radio send. Poor body edge our."
GT0086,2025-05-03,Pneumonia,Vitamins,4 ml,160,Kimberly Snyder,Painting follow green possible data already. Production measure moment all man office.
GT0087,2025-03-24,Pink Eye,Iodine,1 ml,229,Crystal Benitez,Skill trade sound able. Concern money unit total center offer way.
GT0088,2025-04-09,Pneumonia,Vitamins,5 ml,86,Stephanie Young,Mean forward take old. Attack lead explain memory. Institution bed card wall.
GT0089,2025-01-24,Pink Eye,Iodine,5 ml,144,Donna Williams,Eight fast fill language bar child. Should building what travel then should perhaps.
GT0090,2025-04-23,Diarrhea,Vitamins,1 ml,245,Brandy Murphy,New sure room. Foreign role test couple bit cut. Present wife end respond.
GT0091,2025-04-05,Pneumonia,Antibiotics,3 ml,208,Christina Lawson,Sense table thus themselves. Middle couple management guess sort tell sing free. Hundred here drop.
GT0092,2025-01-18,Pink Eye,Ivermectin,4 ml,215,Danielle Hines,Particularly myself huge black technology box under open. Affect piece difficult window pass.
GT0093,2025-03-02,Pneumonia,Antibiotics,2 ml,54,Bonnie Castro,Assume hold class woman. Before response that question place perhaps believe.
GT0094,2025-02-19,Scabies,Ivermectin,2 ml,224,Douglas Wood,Want black necessary fear. Maintain character national city source bring while. Cost major human.
GT0095,2025-01-22,Diarrhea,Antibiotics,4 ml,28,Katie Adams,Part quality view north do agreement space. Professor mouth when firm simple.
GT0096,2025-01-12,Parasites,Ivermectin,3 ml,107,Madison King,Key save writer nation. Tonight store most onto.
GT0097,2025-04-16,Scabies,Antibiotics,2 ml,87,Austin Green,Middle deep never reveal. Live not require kid sign care.
GT0101,2025-01-20,Scabies,Iodine,1 ml,219,Jeremy Lambert,Game piece policy term recognize. Chance world decide usually as.
GT0102,2025-02-07,Pneumonia,Antibiotics,1 ml,92,Richard Morgan,And really skill task central. Free fund local ago name.
GT0103,2025-02-27,Parasites,Sulfur,5 ml,79,Mercedes Owens,Value board once beyond. Bit thing unit trouble enter. Of question hundred a Mrs.
GT0105,2025-01-21,Mastitis,Iodine,3 ml,81,Joanne Gregory,Article product wife.
GT0106,2025-04-08,Pink Eye,Vitamins,2 ml,28,Mark Middleton,Project hour body class west. Lot accept ball can.
GT0108,2025-01-29,Diarrhea,Ivermectin,5 ml,102,Mario Gray,Seat nice work treatment assume full. Treat process nearly. Necessary late second yes run.
GT0111,2025-03-10,Diarrhea,Sulfur,1 ml,180,Karen Alexander,Class poor himself minute. Control expert game century.
GT0112,2025-05-02,Parasites,Antibiotics,3 ml,53,James Lewis,Political evening identify ok table. Conference dream serious wish.
GT0113,2025-02-24,Mastitis,Vitamins,5 ml,38,Steven Miller,Them like official either beautiful. Ground myself law effort discover feel.
GT0114,2025-03-10,Mastitis,Antibiotics,2 ml,84,Christian Martin,Yes test year Mr above million. Wall address card actually court open.
GT0115,2025-01-11,Parasites,Antibiotics,5 ml,74,Danielle Gallegos,Break student turn wrong heart a. Bank change herself full discuss beautiful tax.
GT0116,2025-01-02,Diarrhea,Ivermectin,3 ml,203,Noah Jones,Alone myself gun if computer understand science. Group eight safe war walk beat act worry.
GT0117,2025-01-29,Diarrhea,Antibiotics,1 ml,198,Troy Stout,Fill create system. Move use rise.
GT0119,2025-02-09,Diarrhea,Antibiotics,1 ml,43,Matthew Washington,Without current take event it. What owner method example reflect sense.
