goat_id,production_date,morning_production_liters,evening_production_liters,milk_quality_grade,fat_content_percent,price_per_liter,total_production_liters
GT4119,2025-06-04,2.99,2.48,B,4.74,4.08,5.470000000000001
GT4119,2025-06-03,2.34,1.98,B,5.05,4.33,4.32
GT4119,2025-06-02,1.26,2.05,C,3.3,4.9,3.3099999999999996
GT4119,2025-06-01,1.44,0.39,B,3.22,4.47,1.83
GT4119,2025-05-31,2.37,1.08,B,3.48,5.8,3.45
GT4119,2025-05-30,0.95,1.61,B,3.68,4.87,2.56
GT4119,2025-05-29,1.0,0.94,C,4.07,5.43,1.94
GT4119,2025-05-28,1.9,2.03,A,3.03,4.42,3.9299999999999997
GT4119,2025-05-27,0.5,1.65,C,4.87,4.15,2.15
GT4119,2025-05-26,2.51,2.3,A,3.25,4.43,4.81
GT4119,2025-05-25,1.15,1.65,A,3.31,3.72,2.8
GT4119,2025-05-24,0.71,2.15,B,3.79,4.86,2.86
GT4119,2025-05-23,0.75,2.39,A,4.79,3.07,3.14
GT4119,2025-05-22,2.49,1.94,C,3.54,4.32,4.43
GT4119,2025-05-21,0.88,1.9,A,3.08,5.77,2.78
GT4119,2025-05-20,1.84,0.81,B,4.01,5.91,2.6500000000000004
GT4119,2025-05-19,0.64,0.78,C,4.45,4.04,1.42
GT4119,2025-05-18,0.64,0.9,A,5.36,4.17,1.54
GT4119,2025-05-17,1.82,1.87,A,3.38,4.06,3.6900000000000004
GT4119,2025-05-16,0.77,0.62,A,5.2,4.45,1.3900000000000001
GT4119,2025-05-15,2.32,0.63,C,3.15,5.81,2.9499999999999997
GT4119,2025-05-14,2.54,1.15,A,3.35,4.2,3.69
GT4119,2025-05-13,1.11,2.17,B,3.98,5.79,3.2800000000000002
GT4119,2025-05-12,0.75,1.88,B,4.74,5.9,2.63
GT4119,2025-05-11,0.82,1.4,C,3.33,5.95,2.2199999999999998
GT4119,2025-05-10,2.55,0.9,C,3.96,5.21,3.4499999999999997
GT4119,2025-05-09,2.29,2.21,A,3.42,4.22,4.5
GT4119,2025-05-08,2.86,1.09,B,3.27,4.88,3.95
GT4119,2025-05-07,0.68,2.15,B,5.19,3.21,2.83
GT4119,2025-05-06,1.5,0.51,A,5.14,5.71,2.01
GT9320,2025-06-04,1.87,1.49,C,4.04,5.38,3.3600000000000003
GT9320,2025-06-03,2.58,2.25,C,4.93,5.76,4.83
GT9320,2025-06-02,1.7,1.27,B,4.65,4.22,2.9699999999999998
GT9320,2025-06-01,2.23,0.57,A,4.2,4.86,2.8
GT9320,2025-05-31,0.99,0.48,B,4.49,4.93,1.47
GT9320,2025-05-30,1.05,1.49,C,3.58,3.05,2.54
GT9320,2025-05-29,0.96,1.68,C,3.97,4.23,2.6399999999999997
GT9320,2025-05-28,1.83,1.44,B,4.52,4.37,3.27
GT9320,2025-05-27,2.74,0.55,C,4.88,4.37,3.29
GT9320,2025-05-26,1.69,2.03,A,5.47,3.88,3.7199999999999998
GT9320,2025-05-25,2.45,2.09,B,5.47,4.55,4.54
GT9320,2025-05-24,1.7,1.56,A,3.98,4.31,3.26
GT9320,2025-05-23,1.05,2.12,B,4.49,5.27,3.17
GT9320,2025-05-22,1.47,0.81,C,4.12,3.58,2.2800000000000002
GT9320,2025-05-21,1.21,1.13,A,3.71,4.21,2.34
GT9320,2025-05-20,1.18,1.48,A,3.43,3.67,2.66
GT9320,2025-05-19,2.81,2.1,A,5.24,5.55,4.91
GT9320,2025-05-18,2.77,0.3,C,3.84,3.19,3.07
GT9320,2025-05-17,2.34,0.87,C,4.04,4.85,3.21
GT9320,2025-05-16,1.32,0.34,C,3.9,4.31,1.6600000000000001
GT9320,2025-05-15,1.21,0.82,B,3.4,3.11,2.03
GT9320,2025-05-14,2.18,0.67,A,4.05,4.89,2.85
GT9320,2025-05-13,2.91,1.93,A,3.95,3.42,4.84
GT9320,2025-05-12,1.05,1.49,C,3.69,5.75,2.54
GT9320,2025-05-11,0.97,1.5,A,3.15,4.69,2.4699999999999998
GT9320,2025-05-10,1.38,2.37,A,3.93,3.42,3.75
GT9320,2025-05-09,0.81,0.66,C,4.77,3.28,1.4700000000000002
GT9320,2025-05-08,1.87,0.39,A,3.08,5.89,2.2600000000000002
GT9320,2025-05-07,2.63,0.52,C,5.33,4.17,3.15
GT9320,2025-05-06,1.67,0.95,A,4.97,3.11,2.62
GT9583,2025-06-04,0.75,1.39,A,4.93,3.35,2.1399999999999997
GT9583,2025-06-03,1.64,0.31,B,5.33,5.24,1.95
GT9583,2025-06-02,0.88,0.82,B,3.83,5.51,1.7
GT9583,2025-06-01,1.74,1.74,B,4.16,4.14,3.48
GT9583,2025-05-31,1.28,2.45,C,4.59,4.16,3.7300000000000004
GT9583,2025-05-30,1.0,0.86,A,4.46,5.96,1.8599999999999999
GT9583,2025-05-29,1.25,1.39,A,4.2,4.26,2.6399999999999997
GT9583,2025-05-28,1.24,0.56,B,3.3,3.5,1.8
GT9583,2025-05-27,2.97,2.02,B,4.88,5.11,4.99
GT9583,2025-05-26,0.85,0.38,C,3.59,4.62,1.23
GT9583,2025-05-25,2.21,1.25,A,4.7,5.19,3.46
GT9583,2025-05-24,0.84,1.91,C,3.77,4.14,2.75
GT9583,2025-05-23,0.74,0.6,C,3.27,4.51,1.3399999999999999
GT9583,2025-05-22,1.25,1.1,C,5.22,5.23,2.35
GT9583,2025-05-21,1.21,0.37,B,5.36,5.3,1.58
GT9583,2025-05-20,1.09,0.39,C,5.13,4.18,1.48
