lobster_id,species,catch_date,length_cm,weight_grams,carapace_length_cm,grade,shell_condition,catch_method,fisher_id,vessel_id,fishing_ground_id,market_price_per_kg,is_alive,inspection_passed,export_ready
LOB00001,American Lobster,10/5/2023,15.75,557.5,10.23,Grade A,Hard Shell,Hand Picking,FSH005,VSL002,FG003,37.03,TRUE,TRUE,FALSE
LOB00002,European Lobster,8/9/2024,28.48,561.6,16.69,Grade B,Paper Shell,Trawling,FSH036,VSL010,FG007,77.65,FALSE,TRUE,TRUE
LOB00003,Rock Lobster,10/8/2023,17.9,1301.7,14.04,Grade A,Paper Shell,Trap,FSH049,VSL006,FG018,41.12,FALSE,TRUE,TRUE
LOB00004,American Lobster,10/25/2024,34.84,1205,17.85,Grade B,Hard Shell,Hand Picking,FSH036,VSL030,FG021,70.88,TRUE,FALSE,FALSE
LOB00005,European Lobster,9/22/2024,35.11,1112.4,14.84,Grade A,Soft Shell,Diving,FSH021,VSL030,FG013,39.85,TRUE,FALSE,TRUE
LOB00006,European Lobster,1/26/2024,39.65,1246.6,12.01,Grade A,Soft Shell,Trawling,FSH028,VSL042,FG016,46.76,FALSE,TRUE,FALSE
LOB00007,European Lobster,12/1/2024,22.4,929.8,10.63,Reject,Paper Shell,Trawling,FSH029,VSL009,FG017,52.14,TRUE,TRUE,TRUE
LOB00008,European Lobster,2/24/2024,38.76,748.8,8.64,Reject,Paper Shell,Trawling,FSH071,VSL001,FG022,64.64,FALSE,FALSE,TRUE
LOB00009,Spiny Lobster,8/10/2024,28.04,789.8,17.54,Grade C,Soft Shell,Trap,FSH081,VSL020,FG021,52.92,TRUE,TRUE,FALSE
LOB00010,European Lobster,4/15/2025,31.18,1212.2,13.3,Grade A,Peeler,Hand Picking,FSH003,VSL008,FG012,73.33,FALSE,TRUE,TRUE
LOB00011,European Lobster,1/26/2024,41.34,1431,8.86,Reject,Hard Shell,Diving,FSH017,VSL043,FG016,77.08,TRUE,FALSE,FALSE
LOB00012,European Lobster,10/9/2023,42.87,1181.8,14.9,Grade C,Paper Shell,Trawling,FSH057,VSL034,FG015,31.66,TRUE,TRUE,FALSE
LOB00013,American Lobster,11/8/2024,32.65,499.1,10.2,Grade A,Hard Shell,Diving,FSH009,VSL003,FG011,28.9,TRUE,FALSE,FALSE
LOB00014,European Lobster,9/26/2024,31.18,1140.4,16.82,Reject,Soft Shell,Hand Picking,FSH053,VSL013,FG004,30.33,FALSE,FALSE,FALSE
LOB00015,Rock Lobster,8/11/2023,29.01,1147.8,14.73,Grade A,Hard Shell,Hand Picking,FSH094,VSL022,FG004,38.68,TRUE,FALSE,TRUE
LOB00016,Rock Lobster,10/19/2024,20.5,801.4,16.74,Grade A,,Trap,FSH007,VSL042,FG018,70.98,TRUE,TRUE,TRUE
LOB00017,Rock Lobster,10/24/2023,29.57,477.9,12.01,Grade A,Soft Shell,Hand Picking,FSH001,VSL025,FG009,75.96,FALSE,FALSE,FALSE
LOB00018,Slipper Lobster,10/24/2023,34.86,832.7,9.9,Grade B,Hard Shell,Trap,FSH096,VSL021,FG002,27.76,FALSE,TRUE,TRUE
LOB00019,Slipper Lobster,10/8/2023,17.4,441.6,13.95,Grade B,Paper Shell,Trap,FSH073,VSL016,FG019,57.7,TRUE,FALSE,FALSE
LOB00020,Spiny Lobster,3/19/2024,21.13,1131,10.39,Reject,Soft Shell,Trawling,FSH059,VSL021,FG025,76.47,TRUE,FALSE,TRUE
LOB00021,American Lobster,6/25/2023,31.13,857.7,9.32,Grade C,Hard Shell,Diving,FSH048,VSL019,FG006,49.1,FALSE,TRUE,FALSE
LOB00022,American Lobster,10/15/2024,43.17,374.6,9.15,Grade A,Soft Shell,Trawling,FSH037,VSL039,FG007,64.47,TRUE,FALSE,FALSE
LOB00023,Spiny Lobster,8/14/2023,42.16,1299.9,8.92,Reject,Peeler,Trap,FSH001,VSL022,FG025,32.2,FALSE,TRUE,FALSE
LOB00024,Slipper Lobster,10/11/2023,36.17,929.2,9.12,Grade B,Hard Shell,Trawling,FSH075,VSL036,FG005,48.64,TRUE,FALSE,FALSE
LOB00025,American Lobster,5/22/2025,41.97,473.1,10.5,Grade A,Peeler,Hand Picking,FSH080,VSL048,FG005,75.92,TRUE,TRUE,TRUE
LOB00026,Rock Lobster,8/12/2023,15.74,1157.5,11.32,Reject,Soft Shell,Trawling,FSH021,VSL045,FG004,46.04,TRUE,FALSE,TRUE
LOB00027,European Lobster,7/15/2023,39.5,798.4,11.05,Grade B,Soft Shell,Trap,FSH085,VSL013,FG013,43.05,TRUE,FALSE,FALSE
LOB00028,Slipper Lobster,5/20/2024,26.99,1475.5,13.36,Grade A,Hard Shell,Trawling,FSH023,VSL038,FG009,27.1,FALSE,FALSE,FALSE
LOB00029,Rock Lobster,4/28/2024,33.19,864.8,11.85,Grade B,Peeler,Trap,FSH091,VSL028,FG001,53.6,TRUE,FALSE,FALSE
LOB00030,American Lobster,11/4/2023,43.47,1397,14.23,Grade A,Peeler,Trawling,FSH086,VSL027,FG011,47.13,FALSE,TRUE,TRUE
LOB00031,Rock Lobster,7/3/2023,34.95,692.9,15.48,Grade B,Peeler,Hand Picking,FSH071,VSL001,FG010,40.78,FALSE,FALSE,FALSE
LOB00032,Rock Lobster,7/18/2023,28.26,477.8,12.73,Grade B,Hard Shell,Trawling,FSH066,VSL043,FG021,59.06,TRUE,TRUE,FALSE
LOB00033,European Lobster,2/4/2024,39.2,391.6,8.46,Reject,Hard Shell,Hand Picking,FSH054,VSL041,FG019,35.69,FALSE,FALSE,FALSE
LOB00034,European Lobster,4/18/2025,19.43,1093.9,16.93,Grade A,Paper Shell,Diving,FSH023,VSL045,FG017,50.55,TRUE,TRUE,FALSE
LOB00035,European Lobster,6/1/2025,39.04,1067.9,17.88,Grade C,Paper Shell,Hand Picking,FSH071,VSL029,FG006,65.9,FALSE,FALSE,FALSE
LOB00036,European Lobster,12/15/2023,40.2,560.5,15.78,Reject,Soft Shell,Trawling,FSH057,VSL005,FG023,40.72,FALSE,FALSE,FALSE
LOB00037,Slipper Lobster,12/30/2023,17.42,396.1,11.83,Grade B,Soft Shell,Trap,FSH054,VSL027,FG011,54.84,FALSE,TRUE,TRUE
LOB00038,Rock Lobster,4/30/2025,26.68,1200.7,17.46,Grade A,Paper Shell,Hand Picking,FSH001,VSL023,FG010,66.44,FALSE,TRUE,FALSE
LOB00039,European Lobster,9/5/2024,23.19,831.3,11.89,Reject,Soft Shell,Hand Picking,FSH017,VSL040,FG018,26.48,FALSE,TRUE,TRUE
LOB00040,Rock Lobster,3/29/2025,19.07,800.2,8.5,Reject,Peeler,Diving,FSH059,VSL021,FG011,66.87,FALSE,FALSE,FALSE
LOB00041,Spiny Lobster,2/14/2024,40.05,811.4,15.49,Grade A,Peeler,Diving,FSH084,VSL005,FG025,77.65,TRUE,TRUE,TRUE
LOB00042,European Lobster,2/28/2025,40.18,1007.7,10.39,Reject,Hard Shell,Diving,FSH060,VSL045,FG009,67.18,TRUE,TRUE,TRUE
LOB00043,Spiny Lobster,7/25/2024,18.24,233.4,11.12,Reject,Paper Shell,Diving,FSH010,VSL038,FG023,70.68,TRUE,TRUE,FALSE
LOB00044,Slipper Lobster,12/14/2024,39.17,1235.1,13.66,Grade A,Peeler,Hand Picking,FSH085,VSL024,FG003,52.83,FALSE,TRUE,FALSE
LOB00045,Rock Lobster,2/19/2025,18.17,1449,14.36,Reject,Soft Shell,Hand Picking,FSH023,VSL047,FG017,78.1,FALSE,FALSE,FALSE
LOB00046,Rock Lobster,10/23/2024,39.77,970.2,11.22,Grade B,Hard Shell,Trawling,FSH058,VSL016,FG025,50.56,FALSE,FALSE,TRUE
LOB00047,Rock Lobster,1/17/2025,40.53,436.4,10.12,Grade C,Peeler,Trawling,FSH077,VSL045,FG009,55.57,TRUE,TRUE,TRUE
LOB00048,Rock Lobster,3/7/2025,29.66,1185.6,14.91,Reject,Paper Shell,Trap,FSH012,VSL019,FG008,47.24,TRUE,FALSE,FALSE
LOB00049,Rock Lobster,5/22/2024,31.6,646.9,17.97,Grade C,Peeler,Hand Picking,FSH035,VSL020,FG009,37.68,TRUE,FALSE,TRUE
LOB00050,Slipper Lobster,11/8/2023,43.53,1097.2,9.92,Reject,Peeler,Trawling,FSH013,VSL013,FG010,37.51,TRUE,FALSE,TRUE
LOB00051,Slipper Lobster,1/7/2025,18.8,259.2,8.55,Grade C,Soft Shell,Hand Picking,FSH014,VSL001,FG019,40.64,FALSE,FALSE,FALSE
LOB00052,European Lobster,3/17/2025,43.96,528.2,16.62,Grade A,Hard Shell,Hand Picking,FSH063,VSL005,FG019,59.62,TRUE,TRUE,TRUE
LOB00053,Slipper Lobster,7/5/2024,43.47,310.7,10.48,Reject,Soft Shell,Hand Picking,FSH058,VSL029,FG010,72.31,FALSE,FALSE,TRUE
LOB00054,Slipper Lobster,1/20/2025,43.8,329,15.63,Grade B,Peeler,Trap,FSH021,VSL016,FG006,55.36,TRUE,TRUE,FALSE
LOB00055,Rock Lobster,4/10/2024,35.68,810.9,8.33,Grade C,Peeler,Hand Picking,FSH010,VSL044,FG008,75.82,TRUE,FALSE,TRUE
LOB00056,Slipper Lobster,6/5/2024,21.74,393.7,10.66,Grade B,Hard Shell,Trap,FSH022,VSL020,FG020,66.19,FALSE,FALSE,TRUE
LOB00057,Rock Lobster,1/13/2025,35.66,1109.7,17.43,Reject,Paper Shell,Trap,FSH077,VSL003,FG014,65.4,FALSE,TRUE,TRUE
LOB00058,European Lobster,3/19/2024,43.86,1286.7,13.75,Grade A,Peeler,Trap,FSH098,VSL049,FG006,50.88,FALSE,FALSE,TRUE
LOB00059,Slipper Lobster,2/22/2024,28.08,1258.5,17.69,Reject,Peeler,Hand Picking,FSH043,VSL021,FG022,30.75,TRUE,FALSE,FALSE
LOB00060,Rock Lobster,9/24/2023,23.65,1428.8,16.14,Grade A,Paper Shell,Trap,FSH041,VSL017,FG011,31.38,FALSE,TRUE,FALSE
LOB00061,Rock Lobster,3/9/2024,16.63,874,14.23,Reject,Paper Shell,Trap,FSH027,VSL018,FG018,32.21,FALSE,FALSE,FALSE
LOB00062,American Lobster,6/13/2024,15.87,1019,15.99,Grade B,Peeler,Trap,FSH071,VSL027,FG003,37.36,TRUE,FALSE,TRUE
