sale_id,lobster_id,sale_date,buyer_name,sale_channel,quantity_sold_kg,price_per_kg,transport_cost,commission_percent,payment_terms,delivery_location,customer_rating,total_sale_value,net_profit
SALE00001,LOB08396,2025-04-16,Seafood Market A,Auction,1.22,40.31,20.78,12.9,Net 30,Port Shawn,5,49.178200000000004,22.054212200000002
SALE00002,LOB07364,2025-02-27,Restaurant Chain B,Direct Sale,1.2,51.76,25.33,14.3,COD,Daleland,2,62.111999999999995,27.899983999999996
SALE00003,LOB03073,2024-10-22,Seafood Market A,Online Platform,0.21,65.89,16.38,5.2,Cash,Port Christinabury,1,13.8369,-3.262618799999999
SALE00004,LOB02930,2024-11-15,Processing Plant E,Contract,0.55,38.21,46.45,11.7,Net 30,Williamshire,2,21.015500000000003,-27.8933135
SALE00005,LOB02422,2024-11-07,Restaurant Chain B,Online Platform,1.41,51.0,42.59,10.1,COD,North Christine,1,71.91,22.057089999999995
SALE00006,LOB04129,2024-08-25,Restaurant Chain B,Auction,1.05,31.59,43.4,7.7,COD,Jonesport,5,33.1695,-12.7845515
SALE00007,LOB04638,2024-12-13,Local Distributor D,Contract,1.05,33.07,47.29,12.3,Cash,North Leslieville,4,34.7235,-16.837490499999998
SALE00008,LOB07877,2024-08-31,Local Distributor D,Auction,1.19,68.84,22.87,8.8,COD,Alanmouth,4,81.9196,51.8406752
SALE00009,LOB08779,2024-09-08,Export Company C,Contract,0.98,38.67,23.24,9.9,Cash,Rioshaven,3,37.8966,10.904836600000001
SALE00010,LOB08294,2025-01-24,Local Distributor D,Auction,0.98,78.8,36.0,9.1,COD,Port Christopherfurt,3,77.22399999999999,34.19661599999999
SALE00011,LOB04701,2024-08-06,Restaurant Chain B,Online Platform,0.75,82.6,17.56,11.8,Net 30,Lake Joshua,3,61.949999999999996,37.0799
SALE00012,LOB04359,2024-11-28,Seafood Market A,Contract,0.75,48.34,23.25,7.6,Net 30,Richardland,3,36.255,10.249620000000002
SALE00013,LOB07109,2024-07-21,Local Distributor D,Contract,1.41,74.69,49.77,14.2,COD,Jesseshire,2,105.31289999999998,40.58846819999998
SALE00014,LOB09274,2024-08-20,Restaurant Chain B,Online Platform,0.54,38.24,19.01,10.8,Cash,Johnton,3,20.649600000000003,-0.590556799999999
SALE00015,LOB06474,2025-01-27,Processing Plant E,Direct Sale,0.41,39.29,9.43,5.9,Net 30,Meganmouth,2,16.1089,5.728474899999998
SALE00016,LOB07983,2024-08-27,Processing Plant E,Contract,1.05,78.74,6.94,8.9,Net 30,Kellyfort,2,82.67699999999999,68.37874699999999
SALE00017,LOB03660,2024-08-28,Seafood Market A,Auction,1.41,42.5,28.69,11.2,COD,Woodchester,4,59.925,24.523399999999995
SALE00018,LOB00377,2025-02-03,Local Distributor D,Auction,1.1,38.18,31.26,7.9,COD,South Valerietown,5,41.998000000000005,7.4201580000000025
SALE00019,LOB08834,2024-11-05,Processing Plant E,Auction,1.31,63.31,34.97,7.8,Cash,West Carl,1,82.93610000000001,41.49708420000001
SALE00020,LOB03069,2025-05-27,Processing Plant E,Online Platform,0.39,36.4,10.18,14.3,Net 15,Port Hannahstad,1,14.196,1.9859719999999998
SALE00021,LOB00948,2024-11-03,Export Company C,Contract,1.23,74.49,7.15,12.0,Net 15,Janetville,1,91.6227,73.47797599999998
SALE00022,LOB03498,2024-08-04,Seafood Market A,Direct Sale,1.19,80.37,35.23,11.7,Cash,Deanside,2,95.6403,49.2203849
SALE00023,LOB01747,2024-08-14,Restaurant Chain B,Online Platform,0.74,56.12,39.46,6.1,Net 30,Quinnborough,3,41.5288,-0.4644568000000038
SALE00024,LOB03110,2025-01-07,Restaurant Chain B,Online Platform,1.34,54.19,39.24,11.9,Cash,Lake Mauricehaven,5,72.6146,24.733462599999996
SALE00025,LOB00751,2025-05-05,Processing Plant E,Direct Sale,0.48,84.82,36.98,11.4,COD,North Mirandabury,4,40.71359999999999,-0.9077504000000038
SALE00026,LOB06729,2024-11-04,Restaurant Chain B,Direct Sale,0.65,68.78,26.73,10.2,Cash,Kristyfort,2,44.707,13.416886000000002
SALE00027,LOB04670,2024-06-17,Seafood Market A,Contract,0.23,44.21,19.52,11.2,Net 30,Johnsonburgh,3,10.1683,-10.4905496
SALE00028,LOB04026,2025-02-28,Export Company C,Online Platform,0.42,88.42,6.76,10.4,Cash,New Thomas,5,37.1364,26.514214400000004
SALE00029,LOB04733,2025-02-01,Export Company C,Direct Sale,0.31,52.74,44.98,11.9,Net 30,Adrianburgh,2,16.3494,-30.5761786
SALE00030,LOB02147,2024-09-04,Restaurant Chain B,Direct Sale,1.21,80.96,34.16,11.3,Net 30,Christineville,5,97.96159999999999,52.73193919999999
SALE00031,LOB08066,2024-11-13,Processing Plant E,Contract,0.95,41.63,22.07,7.0,Net 15,North Jonmouth,5,39.5485,14.710104999999997
SALE00032,LOB02059,2025-01-10,Export Company C,Auction,1.23,68.32,48.34,6.1,Net 30,North Lawrence,5,84.03359999999999,30.56755039999999
SALE00033,LOB02715,2024-07-15,Seafood Market A,Contract,0.48,45.09,17.39,10.9,COD,Jennifermouth,1,21.6432,1.8940911999999996
SALE00034,LOB03607,2025-04-05,Seafood Market A,Online Platform,0.74,77.86,30.29,7.4,Net 15,Port Christinahaven,4,57.6164,23.0627864
SALE00035,LOB05672,2024-07-20,Export Company C,Online Platform,1.39,37.43,49.36,12.5,Net 30,Lake Frank,5,52.027699999999996,-3.835762500000003
SALE00036,LOB05420,2024-08-01,Local Distributor D,Direct Sale,1.26,65.86,43.59,5.2,Cash,Payneshire,1,82.9836,35.078452799999994
SALE00037,LOB06857,2025-05-17,Local Distributor D,Direct Sale,0.63,55.16,41.9,7.7,Net 30,East Christopherfort,3,34.7508,-9.8250116
SALE00038,LOB04829,2024-09-04,Processing Plant E,Direct Sale,0.47,43.47,46.34,12.3,COD,Lake Jay,3,20.430899999999998,-28.422100700000005
SALE00039,LOB06626,2024-12-29,Restaurant Chain B,Auction,0.28,34.14,38.08,13.0,Net 30,Whitneyfort,5,9.5592,-29.763495999999996
SALE00040,LOB00428,2025-05-25,Seafood Market A,Direct Sale,1.42,51.74,27.16,13.4,COD,East Deborahmouth,5,73.4708,36.4657128
SALE00041,LOB05367,2024-08-23,Restaurant Chain B,Direct Sale,1.41,78.74,37.76,13.2,COD,Michaelshire,5,111.02339999999998,58.608311199999996
SALE00042,LOB01956,2025-02-18,Processing Plant E,Online Platform,0.4,79.99,22.96,7.3,Net 30,Nelsonton,1,31.996,6.7002919999999975
SALE00043,LOB00895,2025-05-21,Processing Plant E,Contract,0.5,83.62,6.93,13.4,Net 30,New Brittany,1,41.81,29.27746
SALE00044,LOB08211,2024-10-22,Export Company C,Auction,0.47,70.68,49.89,10.0,COD,Sarahland,3,33.2196,-19.99236
SALE00045,LOB04809,2025-05-17,Seafood Market A,Auction,1.27,54.29,18.96,11.0,COD,Lake Sharon,4,68.9483,42.403987
SALE00046,LOB05233,2024-07-30,Seafood Market A,Online Platform,0.24,43.11,8.24,10.9,Net 15,Mariaview,1,10.3464,0.9786423999999991
SALE00047,LOB03945,2025-03-24,Export Company C,Direct Sale,0.68,33.29,43.28,12.6,Cash,South Jonathanland,2,22.6372,-23.4950872
SALE00048,LOB07554,2024-11-17,Export Company C,Direct Sale,0.31,48.41,18.81,10.0,COD,Beckstad,1,15.0071,-5.303609999999999
SALE00049,LOB06860,2025-03-20,Processing Plant E,Auction,0.56,82.67,29.81,5.8,Net 15,Lake Albert,3,46.29520000000001,13.80007840000001
SALE00050,LOB05436,2024-12-22,Restaurant Chain B,Contract,0.38,52.66,37.25,13.1,Cash,Nicholaston,3,20.0108,-19.8606148
SALE00051,LOB05788,2025-05-25,Local Distributor D,Auction,0.7,33.93,34.07,14.6,Cash,New Natalie,1,23.750999999999998,-13.786646000000003
SALE00052,LOB04094,2024-07-15,Export Company C,Online Platform,0.7,44.77,21.29,14.6,Net 15,Connorborough,2,31.339,5.4735059999999995
SALE00053,LOB02864,2025-02-19,Local Distributor D,Direct Sale,1.41,73.36,48.81,9.7,Net 15,Port Tanyamouth,2,103.43759999999999,44.59415279999999
SALE00054,LOB07737,2024-09-10,Export Company C,Online Platform,0.84,71.71,23.43,11.8,Cash,Daviston,5,60.23639999999999,29.69850479999999
SALE00055,LOB06007,2025-02-23,Export Company C,Online Platform,0.61,60.52,22.08,13.6,Net 15,New Richard,5,36.9172,9.816460800000003
SALE00056,LOB03638,2024-10-04,Seafood Market A,Direct Sale,1.05,39.62,49.75,13.5,Net 15,Jonestown,5,41.601,-13.765135
SALE00057,LOB08053,2024-11-20,Local Distributor D,Contract,0.96,35.06,7.15,11.5,Net 15,Lowebury,3,33.6576,22.636976000000004
SALE00058,LOB05866,2024-11-18,Processing Plant E,Auction,1.04,68.42,28.72,8.6,Cash,West Saraville,4,71.1568,36.3173152
SALE00059,LOB01137,2024-07-09,Restaurant Chain B,Contract,0.38,72.78,30.96,7.1,Cash,Ronaldstad,3,27.6564,-5.2672044
SALE00060,LOB05617,2024-11-13,Local Distributor D,Online Platform,1.19,64.05,6.17,10.2,Cash,East Justin,3,76.2195,62.275110999999995
SALE00061,LOB04499,2025-03-27,Export Company C,Auction,0.86,41.89,31.77,5.0,COD,New Andrew,3,36.0254,2.4541299999999984
