inspection_id,lobster_id,inspection_date,inspector_name,visual_inspection,size_compliance,shell_integrity,meat_quality,parasite_check,contamination_test,overall_result,inspection_cost,certificate_issued,notes
INS00001,LOB09664,2025-01-20,Sarah Wilson,Retest Required,False,Poor,Below Standard,Significant,Positive,Conditional Pass,19.1,False,Somebody compare much campaign one according.
INS00002,LOB00866,2025-01-05,Sarah Wilson,Retest Required,False,Fair,Premium,Minor,Positive,Fail,23.98,True,Develop happen plan. Charge usually traditional agency north season news bit. Speak bring practice.
INS00003,LOB05862,2025-05-27,Michael Brown,Fail,True,Fair,Standard,Minor,Positive,Retest Required,23.4,False,Mother necessary raise career. Forward event everybody few whether worker.
INS00004,LOB00044,2025-03-09,Sarah Wilson,Conditional Pass,False,Poor,Standard,Clear,Negative,Conditional Pass,15.31,False,Participant especially special sing while it. Short surface yet actually.
INS00005,LOB01462,2025-02-12,John Smith,Retest Required,False,Poor,Standard,Clear,Negative,Fail,20.98,True,Way relate stay ability. Whole bad realize institution.
INS00006,LOB02080,2025-05-24,Michael Brown,Pass,True,Good,Below Standard,Minor,Negative,Conditional Pass,23.23,False,Thing follow Mr civil professional explain. Wonder federal bag crime figure. What seem nation war.
INS00007,LOB00135,2025-03-28,John Smith,Fail,False,Fair,Below Standard,Significant,Negative,Retest Required,24.39,False,Single real relate. Do home government exist trouble vote how.
INS00008,LOB05380,2025-03-02,David Johnson,Retest Required,True,Fair,Standard,Significant,Negative,Retest Required,23.86,False,Moment apply road. Her would section recent dream raise.
INS00009,LOB03331,2025-03-08,David Johnson,Pass,False,Fair,Below Standard,Significant,Positive,Fail,23.58,False,American whom stand. Network in leg know. Choose at conference assume.
INS00010,LOB07860,2025-04-25,Maria Garcia,Conditional Pass,True,Fair,Standard,Minor,Positive,Conditional Pass,10.9,True,Feeling new move year particularly old vote. Democratic control will drop while.
INS00011,LOB05151,2025-04-30,David Johnson,Retest Required,True,Poor,Standard,Clear,Positive,Fail,14.63,True,House skin simply son. Heavy first major future.
INS00012,LOB01067,2025-05-24,David Johnson,Conditional Pass,True,Fair,Standard,Minor,Positive,Conditional Pass,12.8,True,Free list rest turn behavior chair. Themselves present several career management hair somebody.
INS00013,LOB01577,2025-01-29,Michael Brown,Retest Required,True,Excellent,Below Standard,Significant,Positive,Retest Required,13.83,False,Strategy exist field history. Bill majority claim commercial tough husband.
INS00014,LOB09737,2025-01-31,Sarah Wilson,Conditional Pass,True,Good,Below Standard,Minor,Negative,Fail,9.58,False,Question nation around worker arrive.
INS00015,LOB09896,2025-04-06,David Johnson,Conditional Pass,False,Poor,Below Standard,Minor,Positive,Retest Required,19.69,False,Player clearly people wall red able. Once room away those arrive old parent.
INS00016,LOB06592,2025-04-18,Michael Brown,Retest Required,False,Good,Standard,Clear,Negative,Conditional Pass,6.92,True,Floor never subject lawyer reduce. Operation draw key prove want hope.
INS00017,LOB00975,2025-03-26,David Johnson,Fail,False,Excellent,Below Standard,Minor,Positive,Pass,20.94,False,Future represent itself respond five modern. Inside try choose see hit.
INS00018,LOB03763,2025-01-14,Michael Brown,Conditional Pass,False,Fair,Standard,Minor,Positive,Retest Required,14.66,True,Usually avoid number situation receive heavy yeah. Service avoid away radio discuss.
INS00019,LOB07166,2025-04-01,John Smith,Conditional Pass,True,Good,Standard,Minor,Negative,Fail,15.2,True,Live new to action whole eight husband. American his few organization.
INS00020,LOB09954,2025-05-28,David Johnson,Conditional Pass,True,Good,Below Standard,Clear,Positive,Pass,23.66,False,Would consumer study. Machine exist miss all. Degree whether situation fill.
INS00021,LOB02145,2025-04-29,Sarah Wilson,Conditional Pass,True,Excellent,Standard,Clear,Positive,Fail,21.83,False,Guy goal policy. Drug central age region. Stock eat during artist newspaper order.
INS00022,LOB02468,2025-04-03,Sarah Wilson,Conditional Pass,True,Poor,Standard,Clear,Negative,Retest Required,24.12,True,Bed bring lead impact near remain tonight will. Firm though ball hear their per.
INS00023,LOB07174,2025-02-08,Maria Garcia,Retest Required,True,Poor,Premium,Significant,Negative,Conditional Pass,16.63,False,Into interview try. Audience enough land enough.
INS00024,LOB05941,2025-04-27,David Johnson,Fail,False,Fair,Premium,Minor,Negative,Pass,19.81,False,Environment station radio he yes green. Size show character analysis section.
INS00025,LOB01143,2025-05-08,Maria Garcia,Fail,True,Poor,Standard,Clear,Positive,Fail,23.31,False,"Walk you family deal sometimes. Fund teacher simply item.
Wonder focus role world."
INS00026,LOB03378,2025-01-02,John Smith,Retest Required,True,Fair,Premium,Minor,Positive,Retest Required,8.21,True,Use pull race home movement write ball.
INS00027,LOB07890,2025-05-14,Michael Brown,Conditional Pass,True,Good,Standard,Minor,Positive,Conditional Pass,16.92,False,Citizen reflect paper east meeting at finish huge. Message painting believe and cell each.
INS00028,LOB05690,2025-03-22,Michael Brown,Pass,True,Poor,Premium,Significant,Negative,Fail,12.91,True,Condition image statement good upon.
INS00029,LOB01770,2025-01-06,Michael Brown,Fail,True,Good,Standard,Significant,Negative,Pass,17.88,False,Page put share amount answer. Customer relate act bar although. Beat couple question mother.
INS00030,LOB05244,2025-02-07,Maria Garcia,Pass,False,Good,Premium,Minor,Negative,Conditional Pass,12.05,False,Clear out economy approach traditional they. Others rest control indicate.
INS00031,LOB08458,2025-04-12,Sarah Wilson,Conditional Pass,False,Excellent,Premium,Significant,Positive,Pass,19.44,True,Beyond organization rather then to. Including get he and. Method sing fast everybody.
INS00032,LOB07461,2025-03-28,Michael Brown,Conditional Pass,False,Excellent,Premium,Clear,Positive,Fail,14.42,False,Between take anyone down one. Whole want paper heavy place.
INS00033,LOB02974,2025-05-06,David Johnson,Conditional Pass,True,Poor,Premium,Minor,Positive,Retest Required,19.04,False,Almost media citizen meet everyone lose compare.
INS00034,LOB02204,2025-01-02,David Johnson,Fail,True,Fair,Standard,Clear,Positive,Fail,18.38,False,Although effort drive serious especially. Far hospital choose customer.
INS00035,LOB04678,2025-05-14,John Smith,Pass,False,Fair,Below Standard,Clear,Negative,Retest Required,23.5,False,Serve south decision wide skill country both. Represent cost exactly something.
INS00036,LOB02442,2025-05-05,David Johnson,Conditional Pass,True,Good,Standard,Minor,Negative,Fail,23.86,True,Bill matter win smile result treatment air. Political out man alone establish may.
INS00037,LOB06701,2025-01-26,Sarah Wilson,Pass,False,Fair,Premium,Minor,Negative,Retest Required,20.0,True,Ever report song popular again. Meeting street law Republican democratic certainly.
INS00038,LOB04824,2025-03-20,David Johnson,Conditional Pass,False,Fair,Standard,Clear,Negative,Retest Required,20.04,True,Event sit point market above street card. Nation seem mention name its practice treatment.
INS00039,LOB05103,2025-04-24,David Johnson,Pass,False,Excellent,Below Standard,Significant,Positive,Conditional Pass,8.43,False,Sea say travel admit near mouth front. Strategy space child record seek.
INS00040,LOB07840,2025-05-12,Sarah Wilson,Pass,False,Good,Premium,Minor,Positive,Retest Required,11.07,False,Realize speak officer seat. Already my as serve effort last my.
INS00041,LOB07550,2025-01-03,John Smith,Fail,False,Fair,Standard,Significant,Negative,Retest Required,10.04,False,System management visit point art scene local. Improve goal through star story.
INS00042,LOB09776,2025-05-27,Maria Garcia,Fail,True,Excellent,Below Standard,Minor,Negative,Retest Required,7.88,True,Perform write world media month include receive. Or city others there.
INS00043,LOB09507,2025-02-03,David Johnson,Pass,False,Excellent,Standard,Minor,Positive,Conditional Pass,21.47,False,Agency prove opportunity car hair. Edge top rise body career government article.
INS00044,LOB06529,2025-04-29,John Smith,Retest Required,True,Good,Premium,Clear,Positive,Conditional Pass,11.79,True,Paper maintain including on ball goal.
INS00045,LOB06474,2025-03-01,David Johnson,Pass,False,Poor,Premium,Minor,Negative,Fail,22.0,False,Hit couple figure brother reason country suffer including. Manage meeting red to worry name.
INS00046,LOB05485,2025-05-05,David Johnson,Fail,False,Fair,Below Standard,Significant,Positive,Fail,22.89,False,Write energy support. Western international travel media service when. Around attention visit look.
INS00047,LOB01595,2025-04-05,John Smith,Fail,False,Good,Standard,Minor,Negative,Retest Required,12.79,True,Offer pull morning see most option quality somebody. Wonder writer area indicate during trip.
INS00048,LOB08882,2025-02-05,Sarah Wilson,Pass,True,Good,Premium,Minor,Positive,Fail,22.33,True,Television thousand against rather soldier full you.
INS00049,LOB04865,2025-01-01,Sarah Wilson,Retest Required,False,Excellent,Standard,Minor,Positive,Retest Required,8.67,True,Market mind read human true. Customer common dog expert high.
INS00050,LOB03505,2025-04-09,Maria Garcia,Pass,False,Fair,Standard,Clear,Positive,Retest Required,18.98,True,Control can away serve war treat. General set view resource. Day forget able base watch despite.
INS00051,LOB02822,2025-02-12,Maria Garcia,Conditional Pass,True,Poor,Below Standard,Significant,Negative,Pass,5.66,True,Continue letter hear beat blue month standard. Save assume draw expect throw kid.
INS00052,LOB06427,2025-01-27,Maria Garcia,Retest Required,False,Fair,Below Standard,Significant,Positive,Fail,21.4,False,Practice physical white plant. Mean through world wonder project. Great once size hotel.
INS00053,LOB05859,2025-02-10,Sarah Wilson,Conditional Pass,True,Poor,Premium,Clear,Negative,Retest Required,24.12,True,Congress life whose admit thing wish help. Laugh pretty experience. Across focus back turn me.
INS00054,LOB00678,2025-03-27,Sarah Wilson,Conditional Pass,False,Good,Premium,Significant,Negative,Retest Required,7.71,False,Ground power area under tax draw fast. Yet television less feeling reach lawyer natural.
INS00055,LOB02551,2025-03-01,John Smith,Fail,True,Poor,Below Standard,Clear,Positive,Fail,18.75,True,Various red statement green again result cold. Attack with quickly here old allow.
INS00056,LOB07572,2025-03-21,John Smith,Pass,True,Excellent,Standard,Minor,Negative,Pass,10.89,False,Season old claim behind organization smile focus. Career indicate standard hair.
INS00057,LOB02580,2025-01-19,Michael Brown,Fail,False,Fair,Premium,Significant,Positive,Conditional Pass,8.93,False,Less worry appear different analysis draw while. Green their never challenge available something.
