GPU_ID,CUDA_Cores,Base_Clock_MHz,Boost_Clock_MHz,Memory_Type,Memory_Bandwidth_GBps,RT_Cores,Tensor_Cores
1,10752,1130,1398,GDDR5,275.0,49,196
2,2048,1674,1885,GDDR5,807.0,40,160
3,1024,1538,1775,GDDR6,845.7,0,0
4,16384,2328,2572,GDDR5X,763.7,25,100
5,4608,1244,1486,GDDR6,761.5,107,428
6,10752,1329,1558,GDDR5,383.2,24,96
7,8704,1593,2058,GDDR6X,314.3,0,0
8,16384,1599,1786,GDDR5X,607.6,0,0
9,7680,1895,2148,HBM2,996.9,87,348
10,4608,1167,1440,GDDR6X,202.6,112,448
11,10752,1913,2074,GDDR5X,631.5,119,476
12,3584,1359,1555,HBM2,957.6,30,120
13,10752,1248,1559,HBM2,538.5,47,188
14,10752,1677,1876,GDDR5,470.5,0,0
15,2048,1101,1213,GDDR6,256.7,0,0
16,16384,1864,2061,GDDR6X,846.0,44,176
17,384,2010,2503,GDDR5,248.5,113,452
18,1408,1418,1617,GDDR5,554.5,90,360
19,2048,1249,1543,GDDR5X,891.7,27,108
20,10752,1993,2287,GDDR5X,437.4,0,0
21,10752,1236,1720,GDDR5,881.1,28,112
22,16384,1060,1192,HBM2,652.2,60,240
23,3584,1686,2157,GDDR5,207.5,0,0
24,4608,2321,2772,GDDR6,428.0,76,304
25,1024,2408,2561,GDDR5,911.8,115,460
26,3584,1758,1958,GDDR5,273.8,74,296
27,1408,2112,2432,GDDR6X,648.7,34,136
28,7680,1191,1414,GDDR5,919.1,46,184
29,2048,2297,2787,GDDR5X,905.1,23,92
30,3584,1239,1619,GDDR6X,897.7,0,0
31,2048,1598,1809,GDDR5,973.5,0,0
32,384,1173,1661,GDDR5X,664.5,0,0
33,7680,1909,2213,GDDR6X,919.6,44,176
34,2048,1546,1673,GDDR6,698.5,104,416
35,3584,1832,2008,GDDR6X,741.9,42,168
36,7680,2179,2521,GDDR6,572.0,76,304
37,16384,1503,1930,GDDR5X,738.2,0,0
38,1024,1683,2137,HBM2,355.5,0,0
39,1024,2168,2355,HBM2,571.6,0,0
40,10752,1893,2373,GDDR6X,690.1,0,0
41,8704,1389,1587,GDDR6,812.7,0,0
42,2048,1408,1635,HBM2,264.5,0,0
43,4608,1814,2080,GDDR5X,866.3,0,0
44,3584,2130,2571,GDDR6X,630.6,114,456
45,4608,2003,2422,GDDR5X,872.4,0,0
46,7680,1204,1488,GDDR5,408.1,61,244
47,7680,1378,1510,GDDR5,799.2,0,0
48,2048,1299,1407,GDDR5X,390.8,0,0
49,1408,1909,2394,GDDR5,822.2,40,160
50,7680,1595,1981,GDDR5,673.7,126,504
51,16384,2174,2412,GDDR6X,729.2,28,112
52,4608,1953,2384,GDDR5X,548.4,0,0
53,16384,1403,1843,GDDR5,423.1,77,308
54,4608,1273,1457,GDDR6,472.3,0,0
55,7680,1733,2136,GDDR6X,716.7,82,328
56,16384,1554,1875,GDDR6,540.4,115,460
57,2048,1473,1870,GDDR5X,353.2,0,0
58,1024,2249,2467,GDDR6,343.6,21,84
59,1408,1957,2358,GDDR5,898.2,93,372
60,8704,1171,1297,GDDR6X,259.3,0,0
61,7680,1909,2325,GDDR5X,820.6,68,272
62,16384,2440,2579,GDDR5X,700.4,0,0
63,7680,1676,2013,GDDR6,226.1,56,224
64,2048,1638,1955,GDDR5X,926.7,0,0
65,16384,2382,2657,GDDR6X,750.9,109,436
66,7680,2102,2443,GDDR5,273.1,106,424
67,8704,2374,2546,HBM2,548.7,124,496
68,1408,1495,1872,GDDR6,730.1,71,284
69,7680,2297,2726,GDDR5,726.1,89,356
70,8704,2140,2321,HBM2,304.8,0,0
71,2048,2065,2289,GDDR5,641.8,0,0
72,8704,2399,2615,GDDR6,532.4,0,0
73,16384,1762,2213,GDDR5,421.0,0,0
74,16384,1870,2233,GDDR5X,557.2,0,0
75,4608,2304,2796,GDDR5X,657.4,0,0
76,7680,1579,1944,GDDR5X,596.3,0,0
77,8704,1023,1180,GDDR5X,259.9,120,480
78,10752,1570,1796,GDDR6X,897.9,0,0
79,1024,2141,2522,GDDR5,554.9,108,432
80,7680,1218,1530,HBM2,745.4,43,172
81,8704,2369,2526,GDDR6X,710.3,78,312
82,1024,1663,1901,HBM2,439.3,74,296
83,7680,1858,2187,GDDR6,217.6,0,0
84,16384,2118,2551,GDDR6,820.6,49,196
85,1408,1942,2403,GDDR5,447.1,0,0
86,4608,2121,2291,GDDR5X,829.2,66,264
87,4608,2206,2493,GDDR5,312.6,48,192
88,4608,2009,2377,HBM2,504.8,0,0
89,10752,1492,1836,GDDR5,708.3,79,316
90,1024,1146,1600,GDDR5X,510.9,0,0
91,8704,1923,2398,GDDR6,226.2,0,0
92,4608,1817,2308,GDDR6,248.4,0,0
93,16384,2457,2577,GDDR6,394.9,0,0
94,2048,1493,1652,HBM2,202.3,0,0
95,384,1198,1441,GDDR5X,671.1,22,88
96,1024,1714,2125,HBM2,674.9,77,308
97,384,1091,1382,GDDR6X,541.0,0,0
98,1024,1189,1538,HBM2,638.7,0,0
99,1024,2190,2335,HBM2,776.7,0,0
100,1024,1469,1694,GDDR6,499.4,0,0
101,4608,2218,2540,HBM2,965.3,0,0
102,7680,2302,2690,GDDR6,680.3,0,0
103,1024,1525,1847,GDDR5,810.1,93,372
104,10752,1039,1510,GDDR6,223.2,0,0
105,16384,1986,2113,GDDR5,273.4,87,348
106,4608,2165,2492,GDDR5,906.7,0,0
107,7680,1728,2004,GDDR6,372.5,85,340
108,10752,2001,2119,GDDR6X,987.6,0,0
109,1024,1012,1410,GDDR5X,303.3,88,352
110,8704,2382,2826,HBM2,543.4,0,0
111,16384,1690,2065,GDDR6,270.5,0,0
112,3584,2119,2307,GDDR5X,261.1,0,0
113,2048,1154,1356,GDDR5X,681.9,0,0
114,16384,1964,2458,GDDR6,891.4,100,400
115,3584,1887,2127,GDDR5,448.3,77,308
116,10752,1577,1909,GDDR5,559.8,123,492
117,8704,1155,1614,GDDR6,985.9,0,0
118,16384,1238,1487,GDDR6,509.9,119,476
