Processor_ID,L3_Cache_MB,Lithography_nm,Integrated_GPU,PCIe_Version,Max_Memory_GB,Memory_Type,ECC_Support
1,2,14,Yes,3.0,4096,LPDDR5X,Yes
2,32,7,Yes,3.0,512,DDR4,Yes
3,64,14,No,5.0,512,LPDDR5X,Yes
4,32,10,No,4.0,128,HBM2,No
5,2,10,Yes,4.0,1024,LPDDR4X,Yes
6,128,3,No,5.0,1024,LPDDR5X,No
7,64,3,Yes,4.0,1024,LPDDR5X,No
8,2,7,Yes,5.0,32,HBM2,No
9,96,14,Yes,4.0,256,DDR5,Yes
10,128,10,No,5.0,1024,DDR5,Yes
11,2,3,Yes,5.0,128,DDR4,Yes
12,12,3,Yes,5.0,2048,DDR5,No
13,4,14,No,5.0,512,DDR4,Yes
14,128,14,Yes,5.0,4096,DDR4,Yes
15,64,7,No,4.0,1024,HBM2,No
16,128,10,Yes,5.0,32,DDR5,Yes
17,256,3,No,4.0,128,HBM2,No
18,256,14,Yes,5.0,128,LPDDR5X,No
19,128,14,No,5.0,32,DDR5,No
20,2,14,No,4.0,16,DDR4,No
21,32,3,Yes,4.0,64,DDR4,No
22,12,10,Yes,4.0,16,DDR5,No
23,96,7,No,3.0,128,DDR4,Yes
24,4,7,Yes,5.0,256,DDR4,Yes
25,2,5,Yes,5.0,4096,HBM2,Yes
26,64,7,No,5.0,256,LPDDR5X,Yes
27,256,3,No,4.0,2048,LPDDR5,Yes
28,12,7,Yes,3.0,64,DDR4,Yes
29,2,14,No,3.0,64,HBM2,No
30,96,3,No,5.0,2048,DDR5,No
31,16,7,No,5.0,32,DDR5,Yes
32,64,5,Yes,5.0,1024,LPDDR5,Yes
33,64,10,No,3.0,4096,DDR4,No
34,96,7,No,4.0,256,LPDDR5,No
35,2,10,Yes,3.0,64,DDR5,Yes
36,4,10,No,3.0,16,LPDDR4X,No
37,32,3,No,5.0,512,DDR4,No
38,128,7,No,4.0,1024,HBM2,No
39,32,10,No,3.0,512,LPDDR4X,No
40,96,5,No,3.0,32,LPDDR4X,Yes
41,16,7,No,3.0,32,HBM2,Yes
42,4,10,No,3.0,512,DDR5,No
43,96,14,Yes,5.0,256,LPDDR5,No
44,2,10,Yes,5.0,256,DDR4,Yes
45,2,3,Yes,3.0,128,LPDDR4X,Yes
46,16,7,No,3.0,128,LPDDR4X,Yes
47,256,7,No,3.0,2048,HBM2,No
48,16,14,Yes,3.0,16,HBM2,No
49,4,5,No,4.0,512,LPDDR4X,Yes
50,16,7,Yes,4.0,4096,DDR4,No
51,16,5,No,3.0,16,HBM2,Yes
52,8,5,No,5.0,256,LPDDR5,No
53,64,7,No,3.0,256,HBM2,No
54,12,10,No,3.0,1024,DDR4,No
55,96,14,No,3.0,64,LPDDR5,Yes
56,96,3,Yes,5.0,32,DDR5,No
57,2,7,No,4.0,1024,DDR5,Yes
58,8,10,No,5.0,256,LPDDR5,No
59,16,5,No,3.0,1024,LPDDR5,Yes
60,2,3,No,4.0,128,LPDDR5X,No
61,2,3,No,5.0,64,DDR4,No
62,16,10,No,4.0,256,HBM2,No
63,2,7,Yes,4.0,512,HBM2,No
64,4,5,No,5.0,1024,DDR4,Yes
65,128,5,Yes,4.0,32,LPDDR5,No
66,32,14,No,4.0,128,DDR4,No
67,128,10,Yes,3.0,512,DDR5,Yes
68,12,3,No,3.0,64,LPDDR4X,Yes
69,128,10,Yes,5.0,4096,LPDDR4X,No
70,32,3,Yes,3.0,64,LPDDR4X,No
71,12,5,No,4.0,1024,LPDDR5,Yes
72,4,14,No,3.0,512,DDR5,Yes
73,16,3,No,4.0,32,LPDDR5X,Yes
74,64,3,Yes,5.0,256,DDR4,Yes
75,2,14,Yes,4.0,1024,LPDDR5,No
76,96,5,No,5.0,2048,LPDDR5,No
77,2,10,No,5.0,16,DDR4,Yes
78,128,10,No,3.0,1024,HBM2,Yes
79,2,7,Yes,5.0,2048,HBM2,No
80,32,10,Yes,5.0,32,LPDDR5X,Yes
81,96,5,No,5.0,512,HBM2,No
82,96,5,Yes,3.0,512,LPDDR4X,Yes
83,128,10,Yes,4.0,32,LPDDR4X,Yes
84,16,5,No,4.0,16,HBM2,No
85,8,7,No,5.0,1024,DDR5,Yes
86,64,3,No,3.0,512,LPDDR4X,Yes
87,128,14,No,5.0,64,LPDDR5X,No
88,96,10,Yes,4.0,2048,DDR5,No
89,8,7,Yes,5.0,2048,LPDDR4X,Yes
90,12,5,No,3.0,1024,DDR4,No
91,8,10,Yes,4.0,2048,HBM2,Yes
92,256,3,No,3.0,256,DDR5,No
93,256,10,Yes,4.0,1024,DDR4,No
94,64,5,Yes,5.0,1024,LPDDR4X,No
95,32,10,Yes,4.0,4096,LPDDR4X,Yes
96,2,10,Yes,4.0,256,LPDDR5X,No
97,32,5,No,5.0,2048,LPDDR5,No
98,8,3,No,4.0,32,DDR4,No
99,32,3,No,4.0,16,DDR4,No
100,256,14,Yes,5.0,2048,LPDDR4X,No
101,96,3,No,5.0,32,LPDDR4X,No
102,96,14,No,5.0,512,HBM2,Yes
103,4,10,Yes,3.0,2048,DDR4,No
104,96,3,No,4.0,32,DDR5,No
105,2,14,Yes,4.0,64,DDR5,No
106,256,3,Yes,5.0,64,LPDDR5X,Yes
107,256,5,Yes,4.0,4096,LPDDR4X,No
108,32,3,Yes,4.0,512,HBM2,No
109,4,14,No,4.0,1024,DDR5,Yes
110,64,3,No,3.0,128,LPDDR5X,No
111,32,5,No,3.0,1024,DDR4,Yes
112,64,7,No,5.0,512,DDR5,Yes
113,256,3,Yes,4.0,512,DDR5,No
114,4,5,No,5.0,16,LPDDR5X,No
115,12,14,Yes,3.0,16,LPDDR5,No
116,8,3,Yes,5.0,512,HBM2,No
117,12,7,No,3.0,256,LPDDR4X,Yes
118,128,5,No,4.0,64,LPDDR4X,Yes
119,16,10,Yes,5.0,128,DDR5,Yes
120,8,14,Yes,4.0,2048,LPDDR5,Yes
121,8,14,No,4.0,64,HBM2,No
122,8,3,No,4.0,128,DDR4,No
123,12,10,No,4.0,4096,LPDDR4X,Yes
124,16,7,No,5.0,16,LPDDR4X,No
125,4,7,No,5.0,128,DDR5,Yes
126,12,3,Yes,5.0,2048,LPDDR5X,No
127,12,3,No,3.0,4096,LPDDR5,Yes
128,16,14,Yes,5.0,32,DDR4,No
129,8,5,No,4.0,2048,LPDDR5,No
130,12,14,Yes,4.0,2048,HBM2,No
131,64,3,Yes,3.0,128,DDR4,Yes
132,2,10,No,3.0,512,LPDDR5X,No
133,128,5,Yes,4.0,1024,LPDDR5X,No
134,8,5,Yes,5.0,1024,LPDDR5,Yes
