RAM_ID,CAS_Latency,ECC_Support,Buffered,Channels,Heat_Sink,XMP_Profiles
1,CL38,Yes,Yes,Single,Yes,Yes
2,CL40,No,No,Single,Yes,No
3,CL18,No,No,Single,No,Yes
4,CL13,Yes,Yes,Dual,Yes,Yes
5,CL17,Yes,Yes,Single,Yes,Yes
6,CL11,No,No,Dual,No,Yes
7,CL15,Yes,Yes,Quad,No,No
8,CL15,Yes,Yes,Dual,Yes,No
9,CL13,No,No,Quad,No,Yes
10,CL15,Yes,Yes,Dual,Yes,Yes
11,CL18,No,No,Single,Yes,Yes
12,CL36,Yes,No,Quad,No,Yes
13,CL16,Yes,No,Quad,Yes,Yes
14,CL13,Yes,No,Dual,Yes,Yes
15,CL19,No,No,Quad,Yes,Yes
16,CL15,No,No,Dual,Yes,Yes
17,CL16,Yes,No,Dual,Yes,No
18,CL38,No,No,Single,Yes,No
19,CL36,Yes,No,Quad,Yes,Yes
20,CL11,Yes,No,Quad,No,No
21,CL13,Yes,No,Quad,Yes,Yes
22,CL15,No,No,Quad,No,Yes
23,CL40,Yes,Yes,Single,No,No
24,CL15,No,No,Single,No,No
25,CL15,No,No,Single,Yes,No
26,CL19,Yes,Yes,Single,Yes,Yes
27,CL13,No,No,Single,No,Yes
28,CL17,Yes,Yes,Dual,No,No
29,CL19,No,No,Quad,No,No
30,CL38,Yes,No,Single,No,No
31,CL38,Yes,No,Quad,No,Yes
32,CL36,Yes,Yes,Quad,Yes,Yes
33,CL16,Yes,No,Single,Yes,No
34,CL16,Yes,Yes,Single,Yes,No
35,CL36,No,No,Dual,No,No
36,CL38,No,No,Quad,Yes,No
37,CL16,No,No,Quad,Yes,Yes
38,CL19,Yes,Yes,Quad,No,No
39,CL17,No,No,Dual,Yes,No
40,CL38,Yes,Yes,Quad,Yes,Yes
41,CL18,No,No,Dual,No,No
42,CL11,Yes,Yes,Single,Yes,Yes
43,CL18,Yes,Yes,Quad,Yes,Yes
44,CL16,Yes,Yes,Quad,Yes,Yes
45,CL13,No,No,Single,No,No
46,CL17,No,No,Dual,No,No
47,CL36,No,No,Single,No,Yes
48,CL16,Yes,No,Dual,No,Yes
49,CL16,No,No,Quad,No,No
50,CL16,Yes,Yes,Dual,Yes,Yes
51,CL16,No,No,Single,No,Yes
52,CL15,No,No,Single,Yes,No
53,CL13,No,No,Dual,Yes,Yes
54,CL40,Yes,Yes,Dual,No,No
55,CL16,Yes,No,Single,Yes,Yes
56,CL16,No,No,Quad,No,No
57,CL38,Yes,Yes,Dual,Yes,Yes
58,CL17,No,No,Dual,No,No
59,CL40,Yes,Yes,Quad,No,Yes
60,CL36,Yes,No,Dual,No,No
61,CL18,No,No,Dual,Yes,No
62,CL36,No,No,Single,Yes,No
63,CL17,Yes,Yes,Single,Yes,Yes
64,CL36,No,No,Single,No,Yes
65,CL38,No,No,Single,No,No
66,CL18,Yes,Yes,Single,No,Yes
67,CL15,No,No,Single,Yes,No
68,CL15,Yes,No,Dual,No,No
69,CL11,Yes,No,Quad,No,Yes
70,CL11,No,No,Single,No,No
71,CL13,No,No,Quad,Yes,No
72,CL36,No,No,Quad,Yes,Yes
73,CL17,Yes,Yes,Dual,Yes,Yes
74,CL19,No,No,Single,Yes,No
75,CL15,Yes,Yes,Quad,Yes,No
76,CL15,Yes,No,Quad,No,No
77,CL16,No,No,Quad,No,Yes
78,CL18,Yes,Yes,Dual,Yes,No
79,CL11,Yes,No,Dual,Yes,Yes
80,CL15,No,No,Quad,Yes,No
81,CL13,No,No,Quad,No,Yes
82,CL18,Yes,Yes,Quad,Yes,Yes
83,CL15,Yes,Yes,Single,Yes,Yes
84,CL19,Yes,Yes,Dual,No,No
85,CL11,Yes,Yes,Dual,No,Yes
86,CL40,No,No,Dual,No,No
87,CL16,No,No,Dual,No,No
88,CL36,Yes,No,Single,Yes,No
89,CL19,No,No,Quad,No,Yes
90,CL16,Yes,No,Quad,No,Yes
91,CL17,Yes,No,Quad,No,No
92,CL11,Yes,Yes,Single,No,No
93,CL15,Yes,Yes,Single,Yes,No
94,CL13,No,No,Dual,Yes,No
95,CL17,Yes,Yes,Dual,No,No
96,CL18,Yes,No,Quad,Yes,No
97,CL19,Yes,Yes,Single,No,No
98,CL17,No,No,Single,No,Yes
99,CL15,Yes,No,Dual,Yes,Yes
100,CL40,No,No,Quad,No,Yes
101,CL13,No,No,Dual,No,Yes
102,CL38,No,No,Dual,Yes,No
103,CL18,Yes,Yes,Single,Yes,Yes
104,CL18,Yes,Yes,Quad,No,Yes
105,CL40,Yes,Yes,Dual,No,Yes
106,CL38,Yes,Yes,Dual,No,Yes
107,CL15,Yes,No,Single,Yes,No
108,CL11,No,No,Dual,Yes,No
109,CL16,No,No,Quad,No,No
110,CL15,No,No,Single,No,No
111,CL38,Yes,Yes,Single,Yes,No
112,CL18,Yes,No,Single,No,Yes
113,CL13,Yes,No,Single,No,Yes
114,CL36,Yes,Yes,Quad,Yes,Yes
115,CL13,No,No,Single,Yes,No
116,CL18,Yes,Yes,Quad,Yes,No
117,CL36,Yes,Yes,Single,No,Yes
118,CL38,No,No,Dual,Yes,Yes
119,CL19,No,No,Dual,No,Yes
120,CL40,Yes,Yes,Dual,Yes,Yes
121,CL18,No,No,Single,No,No
122,CL15,No,No,Single,Yes,Yes
123,CL18,No,No,Dual,Yes,Yes
124,CL36,No,No,Quad,Yes,No
125,CL15,Yes,No,Quad,No,Yes
126,CL15,No,No,Quad,Yes,Yes
127,CL38,Yes,Yes,Single,Yes,No
128,CL18,Yes,No,Quad,No,Yes
129,CL15,No,No,Quad,Yes,No
130,CL40,Yes,Yes,Single,Yes,Yes
131,CL40,No,No,Quad,Yes,No
132,CL13,Yes,No,Dual,No,No
133,CL15,No,No,Quad,Yes,No
134,CL19,No,No,Single,Yes,No
135,CL13,No,No,Quad,No,Yes
136,CL11,Yes,No,Dual,No,No
137,CL38,No,No,Quad,No,Yes
138,CL38,No,No,Quad,Yes,Yes
139,CL40,No,No,Single,No,No
140,CL18,No,No,Quad,Yes,No
141,CL40,No,No,Single,No,Yes
142,CL19,Yes,No,Quad,No,Yes
143,CL15,No,No,Quad,No,No
144,CL17,No,No,Quad,Yes,No
145,CL19,No,No,Single,No,Yes
146,CL38,No,No,Quad,No,Yes
147,CL11,Yes,No,Quad,No,Yes
148,CL16,No,No,Dual,No,Yes
149,CL15,No,No,Single,Yes,No
150,CL18,No,No,Dual,No,Yes
151,CL11,No,No,Dual,Yes,Yes
152,CL36,No,No,Single,Yes,No
153,CL18,Yes,No,Single,No,No
154,CL16,Yes,Yes,Dual,Yes,No
155,CL40,Yes,Yes,Quad,No,Yes
156,CL38,No,No,Single,Yes,No
157,CL38,No,No,Quad,No,Yes
158,CL13,Yes,Yes,Single,No,Yes
159,CL19,No,No,Dual,No,Yes
160,CL16,Yes,Yes,Dual,No,No
161,CL19,Yes,No,Single,Yes,Yes
162,CL38,Yes,Yes,Single,Yes,No
163,CL15,Yes,No,Dual,Yes,Yes
164,CL18,No,No,Dual,Yes,No
165,CL11,No,No,Dual,Yes,No
166,CL16,Yes,No,Quad,Yes,Yes
167,CL11,Yes,Yes,Quad,Yes,No
168,CL19,No,No,Quad,No,No
169,CL18,Yes,No,Dual,Yes,Yes
170,CL18,Yes,No,Single,No,No
171,CL38,No,No,Single,Yes,Yes
172,CL15,Yes,No,Dual,No,Yes
173,CL17,No,No,Single,No,Yes
174,CL17,No,No,Single,No,No
175,CL11,Yes,No,Dual,No,Yes
176,CL13,Yes,No,Quad,No,No
177,CL18,Yes,Yes,Quad,Yes,No
178,CL38,No,No,Dual,Yes,Yes
179,CL18,Yes,Yes,Dual,No,Yes
180,CL40,No,No,Single,Yes,Yes
181,CL13,Yes,Yes,Dual,No,No
182,CL13,No,No,Quad,Yes,No
183,CL15,No,No,Single,Yes,No
184,CL13,No,No,Dual,Yes,No
185,CL19,No,No,Dual,No,No
186,CL17,No,No,Quad,Yes,No
187,CL38,Yes,Yes,Dual,Yes,No
188,CL15,No,No,Dual,Yes,No
189,CL18,Yes,No,Single,No,Yes
190,CL19,Yes,No,Dual,Yes,Yes
191,CL11,No,No,Single,No,No
192,CL18,No,No,Single,No,No
193,CL15,Yes,Yes,Quad,Yes,No
194,CL40,Yes,No,Dual,No,Yes
195,CL16,No,No,Single,No,No
196,CL40,Yes,Yes,Quad,No,Yes
197,CL19,Yes,Yes,Dual,Yes,No
198,CL18,Yes,No,Single,No,No
199,CL16,No,No,Single,No,Yes
200,CL38,No,No,Quad,Yes,No
201,CL18,Yes,No,Single,Yes,Yes
202,CL11,No,No,Quad,No,Yes
203,CL19,Yes,Yes,Quad,Yes,Yes
204,CL40,No,No,Quad,No,No
205,CL36,No,No,Quad,Yes,Yes
206,CL19,Yes,No,Dual,No,No
207,CL36,Yes,No,Single,No,No
208,CL17,Yes,Yes,Dual,Yes,No
209,CL13,Yes,No,Dual,Yes,Yes
210,CL19,Yes,No,Single,No,Yes
211,CL15,Yes,Yes,Single,Yes,No
212,CL13,Yes,No,Single,No,No
213,CL11,No,No,Single,Yes,No
214,CL13,Yes,Yes,Dual,Yes,No
215,CL13,Yes,No,Single,Yes,No
216,CL38,Yes,No,Dual,Yes,Yes
217,CL19,Yes,No,Single,No,Yes
218,CL15,Yes,No,Dual,No,Yes
219,CL17,Yes,No,Quad,Yes,No
220,CL13,Yes,No,Quad,Yes,Yes
221,CL11,No,No,Single,No,Yes
222,CL38,Yes,Yes,Single,No,No
223,CL17,Yes,No,Quad,No,Yes
224,CL11,No,No,Quad,No,Yes
225,CL16,No,No,Quad,No,No
226,CL11,No,No,Quad,Yes,Yes
227,CL16,Yes,Yes,Quad,Yes,Yes
228,CL16,No,No,Dual,No,No
229,CL18,Yes,No,Single,No,No
230,CL38,Yes,No,Single,Yes,Yes
231,CL17,Yes,No,Single,Yes,No
232,CL19,No,No,Dual,Yes,No
233,CL40,Yes,Yes,Dual,No,No
234,CL38,Yes,Yes,Quad,No,No
235,CL16,Yes,Yes,Dual,Yes,No
236,CL11,Yes,Yes,Dual,No,Yes
237,CL40,Yes,Yes,Single,No,No
238,CL11,No,No,Quad,Yes,Yes
239,CL38,No,No,Single,No,No
240,CL36,No,No,Single,No,Yes
241,CL40,No,No,Quad,Yes,Yes
242,CL13,Yes,No,Dual,Yes,Yes
243,CL13,Yes,No,Dual,No,Yes
244,CL40,Yes,No,Single,Yes,No
245,CL13,Yes,No,Quad,No,Yes
246,CL16,No,No,Quad,No,No
247,CL18,Yes,No,Dual,No,Yes
248,CL17,No,No,Dual,No,No
249,CL11,No,No,Dual,No,No
250,CL18,No,No,Quad,Yes,Yes
251,CL13,No,No,Quad,Yes,Yes
252,CL19,Yes,Yes,Quad,Yes,No
253,CL38,No,No,Single,No,Yes
254,CL13,No,No,Quad,No,No
255,CL15,No,No,Single,No,No
256,CL17,No,No,Dual,No,Yes
257,CL40,Yes,No,Single,No,No
258,CL38,Yes,No,Single,Yes,Yes
259,CL13,Yes,No,Dual,No,Yes
260,CL13,No,No,Single,No,Yes
261,CL38,Yes,Yes,Quad,Yes,No
262,CL17,No,No,Dual,No,No
263,CL11,No,No,Quad,No,No
264,CL17,Yes,No,Single,Yes,No
265,CL19,No,No,Quad,Yes,Yes
266,CL18,No,No,Single,Yes,No
267,CL18,Yes,No,Single,No,No
268,CL40,Yes,No,Single,Yes,No
269,CL36,Yes,No,Quad,Yes,Yes
270,CL15,Yes,No,Single,Yes,No
271,CL11,No,No,Quad,Yes,Yes
272,CL19,No,No,Single,Yes,Yes
273,CL15,No,No,Dual,No,Yes
274,CL40,Yes,No,Quad,Yes,No
275,CL11,Yes,Yes,Dual,No,No
276,CL13,No,No,Quad,Yes,No
277,CL40,Yes,Yes,Quad,Yes,No
278,CL11,Yes,Yes,Single,No,Yes
279,CL17,No,No,Dual,Yes,Yes
280,CL11,Yes,Yes,Quad,Yes,No
281,CL19,No,No,Dual,No,No
282,CL40,No,No,Quad,No,Yes
283,CL36,Yes,Yes,Dual,Yes,Yes
284,CL18,Yes,No,Quad,Yes,No
285,CL15,No,No,Dual,Yes,Yes
286,CL16,Yes,No,Quad,No,Yes
287,CL11,Yes,Yes,Quad,No,Yes
288,CL18,No,No,Single,Yes,Yes
289,CL15,No,No,Single,No,Yes
290,CL16,No,No,Single,No,Yes
291,CL11,No,No,Quad,No,Yes
292,CL19,No,No,Quad,Yes,No
293,CL38,No,No,Quad,Yes,Yes
294,CL15,No,No,Quad,Yes,No
295,CL19,Yes,Yes,Single,No,Yes
296,CL15,Yes,Yes,Dual,Yes,Yes
297,CL38,No,No,Single,No,Yes
298,CL16,No,No,Single,No,Yes
299,CL19,No,No,Quad,No,Yes
300,CL18,Yes,Yes,Quad,No,No
301,CL15,No,No,Quad,No,Yes
302,CL40,No,No,Quad,Yes,Yes
303,CL18,No,No,Single,No,No
304,CL16,No,No,Quad,Yes,Yes
305,CL19,Yes,No,Quad,No,Yes
306,CL17,Yes,Yes,Single,No,No
307,CL40,Yes,Yes,Quad,Yes,Yes
308,CL36,No,No,Dual,Yes,No
309,CL15,No,No,Quad,No,Yes
310,CL18,Yes,No,Quad,Yes,Yes
311,CL38,No,No,Quad,Yes,No
312,CL16,Yes,No,Single,Yes,No
